tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
2018-M020,Brisbane International,Brisbane,A,32.0,hard,Outdoor
2018-0891,Tata Open,Pune,A,32.0,hard,Outdoor
2018-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2018-M001,Sydney International,Sydney,A,32.0,hard,Outdoor
2018-0301,ASB Classic,Auckland,A,32.0,hard,Outdoor
2018-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2018-7161,Ecuador Open,Quito,A,32.0,clay,Outdoor
2018-7434,Garanti Koza Sofia Open,Sofia,A,32.0,hard,Indoor
2018-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2018-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2018-0424,New York Open,New York,A,32.0,hard,Indoor
2018-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2018-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2018-0496,Open 13,Marseille,A,32.0,hard,Indoor
2018-6932,Rio Open,Rio de Janeiro,A,32.0,clay,Outdoor
2018-0533,Brasil Open,Sao Paulo,A,32.0,clay,Indoor
2018-0495,Dubai Tennis Championships,Dubai,A,32.0,hard,Outdoor
2018-M004,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2018-M006,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2018-M007,Sony Ericsson Open,Miami,M,128.0,hard,Outdoor
2018-0360,Grand Prix Hassan II,Marrakech,A,32.0,clay,Outdoor
2018-0717,U.S. Men's Clay Court Championships,Houston,A,32.0,clay,Outdoor
2018-0410,Monte Carlo Masters,Monte Carlo,M,64.0,clay,Outdoor
2018-0425,Open Banco Sabadell ,Barcelona,A,64.0,clay,Outdoor
2018-7648,Gazprom Hungarian Open,Budapest,A,32.0,clay,Outdoor
2018-7290,Millennium Estoril Open,Estoril,A,32.0,clay,Outdoor
2018-0308,BMW Open,Munich,A,32.0,clay,Outdoor
2018-7163,Istanbul Open,Istanbul,A,32.0,clay,Outdoor
2018-M021,Mutua Madrid Open,Madrid,M,64.0,clay,Outdoor
2018-M009,Internazionali BNL d'Italia,Rome,M,64.0,clay,Outdoor
2018-0322,Geneva Open,Geneva,A,32.0,clay,Outdoor
2018-7694,Lyon Open,Lyon,A,32.0,clay,Outdoor
2018-520,French Open,Paris,G,128.0,clay,Outdoor
2018-M010,Ricoh Open,'s-Hertogenbosch,A,32.0,grass,Outdoor
2018-0321,Mercedes Cup,Stuttgart,A,32.0,grass,Outdoor
2018-0500,Gerry Weber Open,Halle,A,32.0,grass,Outdoor
2018-0311,AEGON Championships,Queens Club,A,32.0,grass,Outdoor
2018-7650,Antalya Open,Antalya,A,32.0,grass,Outdoor
2018-M016,Eastbourne International,Eastbourne,A,32.0,grass,Outdoor
2018-540,Wimbledon,London,G,128.0,grass,Outdoor
2018-0315,Hall of Fame Championships,Newport,A,32.0,grass,Outdoor
2018-0439,Croatia Open,Umag,A,32.0,clay,Outdoor
2018-0316,SkiStar Swedish Open,Bastad,A,32.0,clay,Outdoor
2018-0314,Suisse Open Gstaad,Gstaad,A,32.0,clay,Outdoor
2018-6116,BB&T Atlanta Open,Atlanta,A,32.0,hard,Outdoor
2018-0414,German Tennis Championships,Hamburg,A,32.0,clay,Outdoor
2018-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2018-M035,Citi Open,Washington,A,64.0,hard,Outdoor
2018-7480,Abierto Mexicano Mifel,Los Cabos,A,32.0,hard,Outdoor
2018-0421,Rogers Masters,Toronto,M,64.0,hard,Outdoor
2018-M024,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2018-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,A,64.0,hard,Outdoor
2018-560,US Open,New York,G,128.0,hard,Outdoor
2018-0568,St. Petersburg Open,St. Petersburg,A,32.0,hard,Indoor
2018-0341,Open de Moselle,Metz,A,32.0,hard,Indoor
2018-6967,Shenzhen Open,Shenzhen,A,32.0,hard,Outdoor
2018-7581,Chengdu Open,Chengdu,A,32.0,hard,Outdoor
2018-M015,China Open,Beijing,A,32.0,hard,Outdoor
2018-0329,Rakuten Japan Open Tennis Championships,Tokyo,A,32.0,hard,Outdoor
