tournament_location,tournament_name,Date,indoor_or_outdoor,Surface,Round,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before,tournament_id,draw_size,tournament_level,tournament_date,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Adelaide 1,Adelaide International 1,2023-01-01,Outdoor,Hard,1st Round,7.0,6.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,104755,106218,Adelaide 1_2023_106218_104755,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-01,,,Marcos Giron,R,180.0,USA,29.4,,,Richard Gasquet,R,185.0,FRA,36.5,3,177.0,13.0,2.0,110.0,76.0,59.0,23.0,18.0,2.0,3.0,10.0,4.0,139.0,74.0,51.0,38.0,18.0,10.0,12.0,61.0,776.0,68.0,740.0
Adelaide 1,Adelaide International 1,2023-01-01,Outdoor,Hard,1st Round,6.0,3.0,,,,,,,,,1.0,0.0,Retired,123755,111456,Adelaide 1_2023_111456_123755,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-01,,,Mackenzie Mcdonald,R,178.0,USA,27.7,,,Daniel Elahi Galan,R,191.0,COL,26.5,3,40.0,4.0,1.0,20.0,14.0,14.0,2.0,4.0,0.0,0.0,2.0,1.0,39.0,25.0,16.0,6.0,5.0,0.0,2.0,63.0,775.0,67.0,741.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106331,200175,Adelaide 1_2023_200175_106331,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,,Miomir Kecmanovic,R,183.0,SRB,23.3,,WC,Christopher Oconnell,R,183.0,AUS,28.5,3,94.0,4.0,4.0,74.0,42.0,24.0,23.0,10.0,5.0,6.0,9.0,2.0,55.0,31.0,23.0,9.0,10.0,2.0,5.0,29.0,1420.0,78.0,652.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,2.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,208029,106415,Adelaide 1_2023_106415_208029,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,,Yoshihito Nishioka,L,170.0,JPN,27.2,5.0,,Holger Rune,R,185.0,DEN,19.6,3,125.0,0.0,8.0,86.0,54.0,36.0,16.0,14.0,5.0,9.0,14.0,8.0,95.0,57.0,40.0,16.0,14.0,7.0,11.0,36.0,1134.0,11.0,2888.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,200000,200615,Adelaide 1_2023_200615_200000,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,Q,Alexei Popyrin,R,196.0,AUS,23.4,2.0,,Felix Auger Aliassime,R,193.0,CAN,22.4,3,114.0,11.0,2.0,67.0,45.0,35.0,13.0,11.0,1.0,2.0,7.0,2.0,66.0,45.0,33.0,11.0,11.0,2.0,4.0,120.0,469.0,6.0,4195.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,111442,111460,Adelaide 1_2023_111460_111442,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,,Quentin Halys,R,191.0,FRA,26.1,,WC,Jordan Thompson,R,183.0,AUS,28.7,3,76.0,14.0,2.0,47.0,30.0,27.0,13.0,10.0,0.0,0.0,5.0,4.0,65.0,38.0,26.0,12.0,9.0,3.0,5.0,64.0,767.0,84.0,626.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,144707,126128,Adelaide 1_2023_126128_144707,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,Q,Roman Safiullin,R,185.0,RUS,25.4,,,Mikael Ymer,R,183.0,SWE,24.3,3,94.0,4.0,3.0,65.0,40.0,31.0,13.0,9.0,5.0,5.0,2.0,3.0,61.0,36.0,20.0,13.0,9.0,5.0,8.0,88.0,606.0,69.0,739.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,126952,207733,Adelaide 1_2023_207733_126952,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,,Jack Draper,L,191.0,GBR,21.0,,Q,Soon Woo Kwon,R,180.0,KOR,25.0,3,68.0,8.0,2.0,35.0,18.0,16.0,13.0,7.0,3.0,3.0,2.0,3.0,52.0,24.0,12.0,10.0,8.0,7.0,12.0,42.0,990.0,83.0,630.0
Adelaide 1,Adelaide International 1,2023-01-02,Outdoor,Hard,1st Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,202195,106423,Adelaide 1_2023_106423_202195,0.0,0.0,0.0,0.0,2023-2843,32,A,2023-01-02,,WC,Thanasi Kokkinakis,R,196.0,AUS,26.7,,,Maxime Cressy,R,198.0,USA,25.6,3,131.0,21.0,0.0,72.0,52.0,45.0,13.0,12.0,3.0,4.0,20.0,8.0,82.0,50.0,38.0,19.0,12.0,5.0,6.0,93.0,592.0,34.0,1163.0
Pune,Maharashtra Open,2023-01-02,Outdoor,Hard,1st Round,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,202358,126127,Pune_2023_126127_202358,0.0,0.0,0.0,0.0,2023-0891,32,A,2023-01-02,,,Benjamin Bonzi,R,185.0,FRA,26.5,,,Chun Hsin Tseng,R,175.0,TPE,21.4,3,61.0,2.0,0.0,39.0,21.0,18.0,14.0,8.0,0.0,0.0,2.0,1.0,45.0,31.0,16.0,4.0,7.0,1.0,5.0,60.0,781.0,115.0,490.0
