ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tournament_id,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
1,Adelaide 1,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Kwon S.W.,Nishioka Y.,53,81.0,1115,823.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.7,2.26,1.76,2.5,1.64,2.22,Adelaide 1_ATP250_2022,106415,126952,Adelaide 1_ATP250_2022_126952_106415,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Monteiro T.,Altmaier D.,89,84.0,805,813.0,6.0,2.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.3,1.61,2.49,1.6,2.6,1.62,2.38,1.57,Adelaide 1_ATP250_2022,127157,106329,Adelaide 1_ATP250_2022_106329_127157,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Djere L.,Carballes Baena R.,52,79.0,1131,837.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.2,1.81,2.1,1.83,2.26,1.7,2.12,Adelaide 1_ATP250_2022,106148,111513,Adelaide 1_ATP250_2022_111513_106148,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-03,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Vukic A.,85,156.0,812,440.0,6.0,4.0,2.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.21,1.74,2.3,1.8,2.1,1.72,Adelaide 1_ATP250_2022,126846,105449,Adelaide 1_ATP250_2022_105449_126846,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Moutet C.,Rune H.,92,103.0,797,740.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.66,1.53,2.81,1.54,2.64,1.47,Adelaide 1_ATP250_2022,208029,144895,Adelaide 1_ATP250_2022_144895_208029,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Daniel T.,Musetti L.,125,59.0,584,1004.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,2.0,1.8,2.19,1.75,2.25,1.8,2.09,1.73,Adelaide 1_ATP250_2022,207518,106121,Adelaide 1_ATP250_2022_106121_207518,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Gerasimov E.,Fucsovics M.,113,40.0,665,1459.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.57,2.91,1.46,2.91,1.57,2.62,1.48,Adelaide 1_ATP250_2022,105916,106078,Adelaide 1_ATP250_2022_106078_105916,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Ymer M.,Bonzi B.,94,64.0,782,969.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.0,1.8,2.15,1.78,2.15,1.82,2.04,1.77,Adelaide 1_ATP250_2022,126127,144707,Adelaide 1_ATP250_2022_144707_126127,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Cerundolo J.M.,Bolt A.,90,137.0,803,506.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.44,2.87,1.47,3.32,1.47,2.89,1.41,Adelaide 1_ATP250_2022,106109,207678,Adelaide 1_ATP250_2022_207678_106109,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Paul T.,Vesely J.,43,83.0,1349,822.0,6.0,4.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.33,3.4,1.35,3.45,1.35,3.6,1.32,3.35,Adelaide 1_ATP250_2022,106210,126205,Adelaide 1_ATP250_2022_126205_106210,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Mager G.,Cerundolo F.,62,127.0,978,582.0,6.0,4.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,1.94,1.94,2.0,2.07,1.9,1.88,Adelaide 1_ATP250_2022,202103,126149,Adelaide 1_ATP250_2022_126149_202103,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-04,ATP250,Outdoor,Hard,1st Round,3.0,Kokkinakis T.,Millman J.,171,72.0,394,875.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.1,1.8,2.11,1.87,2.15,1.77,2.03,Adelaide 1_ATP250_2022,105357,106423,Adelaide 1_ATP250_2022_106423_105357,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2022-01-05,ATP250,Outdoor,Hard,2nd Round,3.0,Djere L.,Moutet C.,52,92.0,1131,797.0,4.0,6.0,7.0,5.0,,,,,,,1.0,1.0,Retired,2.3,1.61,2.31,1.69,2.49,1.72,2.28,1.62,Adelaide 1_ATP250_2022,144895,111513,Adelaide 1_ATP250_2022_111513_144895,2.0,3.0,2.0,3.0
1,Adelaide 1,Adelaide International 1,2022-01-05,ATP250,Outdoor,Hard,2nd Round,3.0,Cilic M.,Monteiro T.,30,89.0,1710,805.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.34,3.6,1.35,3.7,1.3,3.44,Adelaide 1_ATP250_2022,106329,105227,Adelaide 1_ATP250_2022_105227_106329,0.0,0.0,1.0,2.0
