tourney_id,tourney_location,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,shortened_winner_name,shortened_loser_name,match_id
2020-0451,Doha,Hard,32,A,20200106,300,126094,2.0,,Andrey Rublev,R,188.0,RUS,22.2,144895,,Q,Corentin Moutet,L,178.0,FRA,20.7,6-2 7-6(3),3,F,86.0,3.0,0.0,58.0,44.0,34.0,6.0,10.0,1.0,2.0,0.0,3.0,62.0,48.0,26.0,7.0,10.0,3.0,6.0,23.0,1584.0,81.0,638.0,Rublev A.,Moutet C.,Doha_2020_126094_144895
2020-0451,Doha,Hard,32,A,20200106,299,144895,,Q,Corentin Moutet,L,178.0,FRA,20.7,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,3-6 7-5 6-3,3,SF,120.0,0.0,0.0,74.0,56.0,45.0,12.0,15.0,0.0,1.0,12.0,4.0,93.0,61.0,45.0,17.0,15.0,9.0,11.0,81.0,638.0,15.0,1955.0,Moutet C.,Wawrinka S.,Doha_2020_144895_104527
2020-0451,Doha,Hard,32,A,20200106,298,126094,2.0,,Andrey Rublev,R,188.0,RUS,22.2,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,6-3 6-1,3,SF,53.0,10.0,1.0,43.0,26.0,24.0,10.0,8.0,0.0,0.0,0.0,1.0,50.0,30.0,14.0,10.0,8.0,2.0,6.0,23.0,1584.0,62.0,881.0,Rublev A.,Kecmanovic M.,Doha_2020_126094_200175
2020-0451,Doha,Hard,32,A,20200106,297,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,105379,,,Aljaz Bedene,R,181.0,SLO,30.4,6-3 6-4,3,QF,83.0,5.0,0.0,58.0,29.0,27.0,16.0,10.0,2.0,2.0,7.0,1.0,49.0,25.0,22.0,10.0,9.0,2.0,4.0,15.0,1955.0,58.0,905.0,Wawrinka S.,Bedene A.,Doha_2020_104527_105379
2020-0451,Doha,Hard,32,A,20200106,296,144895,,Q,Corentin Moutet,L,178.0,FRA,20.7,104269,,,Fernando Verdasco,L,188.0,ESP,36.1,6-4 4-6 6-4,3,QF,132.0,2.0,3.0,91.0,67.0,49.0,12.0,15.0,4.0,6.0,8.0,3.0,90.0,65.0,44.0,14.0,15.0,3.0,6.0,81.0,638.0,49.0,1025.0,Moutet C.,Verdasco F.,Doha_2020_144895_104269
2020-0451,Doha,Hard,32,A,20200106,295,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,105916,,Q,Marton Fucsovics,R,188.0,HUN,27.9,6-2 6-0,3,QF,55.0,2.0,0.0,39.0,30.0,22.0,6.0,7.0,3.0,4.0,6.0,2.0,48.0,32.0,14.0,3.0,7.0,6.0,12.0,62.0,881.0,70.0,790.0,Kecmanovic M.,Fucsovics M.,Doha_2020_200175_105916
2020-0451,Doha,Hard,32,A,20200106,294,126094,2.0,,Andrey Rublev,R,188.0,RUS,22.2,105732,,,Pierre Hugues Herbert,R,188.0,FRA,28.8,6-4 6-3,3,QF,101.0,4.0,1.0,72.0,40.0,29.0,15.0,9.0,5.0,6.0,10.0,3.0,74.0,40.0,28.0,10.0,10.0,4.0,8.0,23.0,1584.0,65.0,840.0,Rublev A.,Herbert P.H.,Doha_2020_126094_105732
2020-0451,Doha,Hard,32,A,20200106,293,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,104871,,,Jeremy Chardy,R,188.0,FRA,32.8,6-3 6-4,3,R16,87.0,12.0,1.0,61.0,35.0,27.0,15.0,10.0,6.0,7.0,1.0,3.0,64.0,40.0,27.0,11.0,9.0,6.0,9.0,15.0,1955.0,54.0,920.0,Wawrinka S.,Chardy J.,Doha_2020_104527_104871
2020-0451,Doha,Hard,32,A,20200106,292,105379,,,Aljaz Bedene,R,181.0,SLO,30.4,122330,,,Alexander Bublik,R,196.0,KAZ,22.5,6-3 7-5,3,R16,89.0,5.0,3.0,67.0,35.0,27.0,21.0,11.0,1.0,1.0,10.0,4.0,66.0,41.0,32.0,11.0,10.0,4.0,6.0,58.0,905.0,55.0,919.0,Bedene A.,Bublik A.,Doha_2020_105379_122330
2020-0451,Doha,Hard,32,A,20200106,291,144895,,Q,Corentin Moutet,L,178.0,FRA,20.7,105683,4.0,,Milos Raonic,R,196.0,CAN,29.0,7-6(4) 7-6(4),3,R16,119.0,2.0,3.0,92.0,68.0,48.0,15.0,12.0,2.0,3.0,14.0,5.0,75.0,41.0,33.0,19.0,12.0,2.0,3.0,81.0,638.0,32.0,1305.0,Moutet C.,Raonic M.,Doha_2020_144895_105683
