,0
5500,"{'temperature_2m': 24.7, 'relative_humidity_2m': 78, 'windspeed_10m': 5.4, 'apparent_temperature': 28.1}"
5501,"{'temperature_2m': 26.6, 'relative_humidity_2m': 38, 'windspeed_10m': 8.7, 'apparent_temperature': 25.6}"
5502,"{'temperature_2m': 26.4, 'relative_humidity_2m': 38, 'windspeed_10m': 8.7, 'apparent_temperature': 25.4}"
5503,"{'temperature_2m': 22.2, 'relative_humidity_2m': 95, 'windspeed_10m': 7.6, 'apparent_temperature': 25.6}"
5504,"{'temperature_2m': 20.6, 'relative_humidity_2m': 78, 'windspeed_10m': 5.9, 'apparent_temperature': 22.1}"
5505,"{'temperature_2m': 12.8, 'relative_humidity_2m': 78, 'windspeed_10m': 17.9, 'apparent_temperature': 9.9}"
5506,"{'temperature_2m': 8.2, 'relative_humidity_2m': 72, 'windspeed_10m': 39.4, 'apparent_temperature': 0.9}"
5507,"{'temperature_2m': 7.4, 'relative_humidity_2m': 62, 'windspeed_10m': 44.9, 'apparent_temperature': -1.2}"
5508,"{'temperature_2m': 6.9, 'relative_humidity_2m': 94, 'windspeed_10m': 17.1, 'apparent_temperature': 3.4}"
5509,"{'temperature_2m': 6.0, 'relative_humidity_2m': 77, 'windspeed_10m': 31.1, 'apparent_temperature': -0.3}"
5510,"{'temperature_2m': 6.9, 'relative_humidity_2m': 94, 'windspeed_10m': 17.1, 'apparent_temperature': 3.4}"
5511,"{'temperature_2m': 6.7, 'relative_humidity_2m': 81, 'windspeed_10m': 36.2, 'apparent_temperature': -0.1}"
5512,"{'temperature_2m': 22.5, 'relative_humidity_2m': 59, 'windspeed_10m': 12.7, 'apparent_temperature': 23.8}"
5513,"{'temperature_2m': 21.4, 'relative_humidity_2m': 65, 'windspeed_10m': 20.1, 'apparent_temperature': 20.0}"
5514,"{'temperature_2m': 22.1, 'relative_humidity_2m': 60, 'windspeed_10m': 20.0, 'apparent_temperature': 20.5}"
5515,"{'temperature_2m': 6.1, 'relative_humidity_2m': 54, 'windspeed_10m': 38.1, 'apparent_temperature': -1.9}"
5516,"{'temperature_2m': 7.4, 'relative_humidity_2m': 94, 'windspeed_10m': 5.0, 'apparent_temperature': 5.8}"
5517,"{'temperature_2m': 24.6, 'relative_humidity_2m': 47, 'windspeed_10m': 11.0, 'apparent_temperature': 25.8}"
5518,"{'temperature_2m': 24.6, 'relative_humidity_2m': 47, 'windspeed_10m': 11.0, 'apparent_temperature': 25.8}"
5519,"{'temperature_2m': 5.8, 'relative_humidity_2m': 56, 'windspeed_10m': 40.8, 'apparent_temperature': -2.6}"
5520,"{'temperature_2m': 5.6, 'relative_humidity_2m': 54, 'windspeed_10m': 36.4, 'apparent_temperature': -2.3}"
5521,"{'temperature_2m': 5.6, 'relative_humidity_2m': 51, 'windspeed_10m': 34.6, 'apparent_temperature': -2.1}"
5522,"{'temperature_2m': 5.0, 'relative_humidity_2m': 71, 'windspeed_10m': 26.2, 'apparent_temperature': -0.9}"
5523,"{'temperature_2m': 7.2, 'relative_humidity_2m': 96, 'windspeed_10m': 12.0, 'apparent_temperature': 4.7}"
5524,"{'temperature_2m': 7.2, 'relative_humidity_2m': 97, 'windspeed_10m': 6.3, 'apparent_temperature': 5.5}"
5525,"{'temperature_2m': 7.4, 'relative_humidity_2m': 95, 'windspeed_10m': 4.9, 'apparent_temperature': 5.9}"
5526,"{'temperature_2m': 6.9, 'relative_humidity_2m': 97, 'windspeed_10m': 6.0, 'apparent_temperature': 5.1}"
5527,"{'temperature_2m': 5.0, 'relative_humidity_2m': 71, 'windspeed_10m': 26.2, 'apparent_temperature': -0.9}"
5528,"{'temperature_2m': 20.2, 'relative_humidity_2m': 71, 'windspeed_10m': 14.1, 'apparent_temperature': 19.7}"
5529,"{'temperature_2m': 24.6, 'relative_humidity_2m': 47, 'windspeed_10m': 11.0, 'apparent_temperature': 25.8}"
