match_id,temperature_2m,relative_humidity_2m,windspeed_10m,apparent_temperature
Brisbane_2018_105238_106043,28.9,68,15.2,31.8
Brisbane_2018_200282_105449,27.0,77,9.6,30.9
Brisbane_2018_105992_104919,28.0,28,5.8,27.9
Brisbane_2018_105051_126207,31.2,66,6.1,39.2
Brisbane_2018_104999_105441,29.1,72,1.5,35.1
Brisbane_2018_104547_124014,19.7,52,8.8,18.3
Brisbane_2018_111577_111442,28.3,28,7.2,27.6
Brisbane_2018_111581_105643,28.0,28,5.8,27.9
Brisbane_2018_111202_104180,28.0,28,5.8,27.9
Brisbane_2018_106378_133430,21.1,57,19.0,19.1
Brisbane_2018_104797_106000,25.8,34,8.1,24.3
Brisbane_2018_105357_105166,17.5,81,11.2,17.3
Brisbane_2018_105238_104547,19.0,69,13.7,18.1
Brisbane_2018_106401_105051,21.1,57,19.0,19.1
Brisbane_2018_111581_104999,26.6,89,4.0,32.5
Brisbane_2018_200282_105683,28.5,73,15.4,31.9
Brisbane_2018_104797_111577,28.5,73,15.4,31.9
Brisbane_2018_105992_105870,16.7,87,10.5,16.6
Brisbane_2018_106378_111202,28.2,28,9.2,26.3
Brisbane_2018_105777_105357,18.2,71,17.7,16.6
Brisbane_2018_200282_111581,17.6,71,14.0,16.3
Brisbane_2018_106401_105238,28.3,29,5.1,27.3
Brisbane_2018_105992_104797,18.2,71,17.7,16.6
Brisbane_2018_105777_106378,20.8,54,6.0,20.3
Brisbane_2018_105992_200282,19.1,73,20.1,17.5
Brisbane_2018_106401_105777,27.9,30,4.3,26.9
Brisbane_2018_106401_105992,22.5,28,8.0,19.7
Doha_2018_126094_105649,20.8,54,6.0,20.3
Doha_2018_104269_104534,19.7,57,17.0,17.5
Doha_2018_106233_105539,22.5,28,8.0,19.7
Doha_2018_105932_105341,19.7,57,17.0,17.5
Doha_2018_126774_104252,25.7,40,5.1,25.3
Doha_2018_106432_105807,26.7,79,5.2,31.3
Doha_2018_105806_104890,25.5,84,5.6,29.9
Doha_2018_103852_104198,27.7,76,9.5,31.8
Doha_2018_105376_105936,28.3,76,8.3,33.1
Doha_2018_105379_104291,21.1,31,9.3,18.2
Doha_2018_126610_104678,19.7,57,17.0,17.5
Doha_2018_105526_104607,22.5,28,8.0,19.7
Doha_2018_105882_106325,22.3,94,10.1,25.4
Doha_2018_104755_103607,18.6,72,8.6,18.5
Doha_2018_105550_105077,21.5,48,10.1,20.0
Doha_2018_104792_103893,29.0,27,2.2,29.1
Doha_2018_106432_105932,28.9,26,2.6,27.9
Doha_2018_105806_103852,25.9,38,5.4,25.4
Doha_2018_126094_104269,18.6,55,23.7,15.0
Doha_2018_105376_126610,22.0,44,7.3,20.7
Doha_2018_106233_105379,20.4,54,14.3,18.6
Doha_2018_105550_105882,16.6,61,18.7,13.6
Doha_2018_104792_105526,29.0,27,2.2,29.1
Doha_2018_126774_104755,17.8,63,23.0,14.7
Doha_2018_105550_105806,19.5,51,25.0,15.6
Doha_2018_126094_106432,17.5,61,22.1,14.3
Doha_2018_106233_126774,26.9,69,10.4,29.9
Doha_2018_104792_105376,26.1,72,11.1,28.6
Doha_2018_126094_105550,29.9,59,1.6,36.8
Doha_2018_104792_106233,20.6,47,29.0,16.1
Doha_2018_104792_126094,20.6,47,29.0,16.1
Pune_2018_111797_104665,20.6,47,29.0,16.1
Pune_2018_105916_106044,24.2,83,6.9,27.6
Pune_2018_105062_105430,26.0,38,8.9,24.9
Pune_2018_106120_106210,16.2,56,10.9,13.9
Pune_2018_105732_106065,22.0,51,9.2,21.1
Pune_2018_104468_105815,22.0,51,9.2,21.1
Pune_2018_106368_106148,26.0,38,8.9,24.9
Pune_2018_125802_111576,21.5,88,8.4,23.9
Pune_2018_111513_105657,19.9,46,18.5,16.7
Pune_2018_104898_104882,25.4,69,15.3,26.6
Pune_2018_106026_111459,27.3,62,13.0,29.9
Pune_2018_106329_105074,18.0,51,14.8,15.2
Pune_2018_105332_105916,21.2,42,19.2,17.8
Pune_2018_105732_106026,26.2,67,16.8,27.4
Pune_2018_104898_111797,22.9,50,10.8,22.0
Pune_2018_104468_105138,27.3,66,5.6,32.1
Pune_2018_105062_111513,26.5,39,9.1,25.7
Pune_2018_105227_106368,18.8,64,16.6,16.9
Pune_2018_106120_125802,27.4,66,10.5,30.8
Pune_2018_104731_106329,19.5,57,15.1,17.5
Pune_2018_105227_105732,26.6,67,10.4,29.3
Pune_2018_104468_106120,23.4,82,5.8,26.5
Pune_2018_104731_105062,29.3,53,10.5,34.0
Pune_2018_105332_104898,27.2,58,14.8,28.6
Pune_2018_104468_105227,21.5,46,17.5,18.8
Pune_2018_104731_105332,25.5,38,7.6,24.4
Pune_2018_104468_104731,40.8,16,4.7,42.1
Auckland_2018_105311_105385,35.9,36,16.6,36.7
Auckland_2018_103970_200059,40.8,16,4.7,42.1
Auckland_2018_111575_105216,21.4,70,27.1,20.9
Auckland_2018_105138_105030,24.0,74,12.2,25.6
Auckland_2018_133430_104297,33.5,43,2.9,38.1
Auckland_2018_104655_106121,21.3,66,20.1,22.1
Auckland_2018_105376_105065,29.9,43,15.9,29.7
Auckland_2018_105449_132482,30.5,44,16.9,30.5
Auckland_2018_106210_105430,31.8,49,18.3,35.2
Auckland_2018_105041_126774,18.7,79,10.5,18.9
Auckland_2018_104898_134770,19.7,72,15.5,19.0
Auckland_2018_111202_105815,21.8,62,17.7,21.6
Auckland_2018_105138_105449,21.9,64,17.1,23.3
Auckland_2018_104898_105041,21.3,66,20.1,22.1
Auckland_2018_106210_105023,26.5,69,22.4,27.3
Auckland_2018_105376_106058,21.6,62,19.2,22.2
Auckland_2018_103970_105311,27.1,71,9.5,30.2
Auckland_2018_111575_104655,27.4,68,12.4,30.0
Auckland_2018_105223_133430,27.8,65,19.6,29.3
Auckland_2018_111202_104545,20.9,72,17.2,20.3
Auckland_2018_105138_106210,22.9,63,16.1,23.4
Auckland_2018_104898_105376,23.7,62,12.8,26.4
Auckland_2018_103970_111202,23.6,65,13.2,26.7
Auckland_2018_105223_111575,25.8,72,21.4,26.7
Auckland_2018_105138_104898,23.7,61,14.7,25.4
Auckland_2018_105223_103970,19.9,73,7.0,20.5
Auckland_2018_105138_105223,22.8,58,19.6,22.3
Sydney_2018_103893_111442,22.9,67,7.4,26.6
Sydney_2018_105238_104678,21.3,65,13.5,20.8
Sydney_2018_106000_105526,21.7,63,15.2,20.9
Sydney_2018_105575_106109,22.5,58,15.8,21.8
Sydney_2018_105357_200615,22.7,57,17.5,22.2
Sydney_2018_106421_104259,23.0,58,17.4,22.8
Sydney_2018_105173_105539,21.1,71,15.5,20.8
Sydney_2018_104919_104999,22.7,68,17.9,23.3
Sydney_2018_103852_126846,23.3,65,17.0,24.9
Sydney_2018_200282_104269,23.5,65,16.3,25.7
Sydney_2018_105332_105379,23.6,62,14.5,26.1
Sydney_2018_111577_104468,23.5,65,16.3,25.7
Sydney_2018_105173_105575,23.0,58,17.4,22.8
Sydney_2018_103893_105077,19.4,82,9.6,20.1
Sydney_2018_105332_104919,24.1,68,12.8,26.3
Sydney_2018_104926_105238,24.7,63,11.7,27.5
Sydney_2018_106421_111577,22.0,72,10.6,22.9
Sydney_2018_200282_106000,22.6,69,14.7,22.8
Sydney_2018_103852_106043,24.2,66,16.4,25.0
Sydney_2018_104180_105357,21.8,87,13.3,23.4
Sydney_2018_104926_105173,22.6,77,18.0,23.0
Sydney_2018_106421_103893,26.2,75,25.0,27.2
Sydney_2018_105332_104180,24.2,85,19.2,26.0
Sydney_2018_200282_103852,24.5,57,12.9,25.2
Sydney_2018_106421_104926,20.6,89,13.3,22.0
Sydney_2018_200282_105332,23.5,72,14.5,26.9
Sydney_2018_106421_200282,21.5,85,19.7,21.9
Melbourne_2018_105238_104890,19.3,65,25.6,16.3
Melbourne_2018_105992_104534,18.8,63,25.5,15.5
Melbourne_2018_106378_104731,18.8,63,25.5,15.5
Melbourne_2018_105807_106186,18.8,63,25.5,15.5
Melbourne_2018_104655_104022,18.1,61,23.1,14.9
Melbourne_2018_104797_105732,19.3,65,25.6,16.3
Melbourne_2018_104180_105643,19.3,65,25.6,16.3
Melbourne_2018_104312_144895,18.1,61,23.1,14.9
Melbourne_2018_126094_103970,17.4,64,18.8,14.8
Melbourne_2018_105051_104545,16.2,69,14.2,14.3
Melbourne_2018_106415_104259,19.6,65,21.1,17.4
Melbourne_2018_104678_106109,18.8,63,25.5,15.5
Melbourne_2018_133430_126774,18.1,61,23.1,14.9
Melbourne_2018_105777_110602,18.1,61,23.1,14.9
Melbourne_2018_106043_105583,19.3,70,26.4,16.7
Melbourne_2018_105227_105577,19.3,65,25.6,16.3
Melbourne_2018_106000_103893,19.9,69,24.0,17.8
Melbourne_2018_103333_111513,19.6,65,21.1,17.4
Melbourne_2018_111456_111200,19.6,65,21.1,17.4
Melbourne_2018_104468_105657,19.6,65,21.1,17.4
Melbourne_2018_105216_106058,20.0,67,24.8,17.6
Melbourne_2018_105932_105589,20.0,67,24.8,17.6
Melbourne_2018_104571_106026,19.6,65,21.1,17.4
Melbourne_2018_105357_106432,19.9,69,24.0,17.8
Melbourne_2018_104919_111797,19.6,65,21.1,17.4
Melbourne_2018_134770_111460,19.9,69,24.0,17.8
Melbourne_2018_105074_106298,19.9,69,24.0,17.8
Melbourne_2018_106401_104297,19.9,69,24.0,17.8
Melbourne_2018_104745_103607,19.9,69,24.0,17.8
Melbourne_2018_104291_106099,19.9,69,25.5,17.5
Melbourne_2018_105311_104460,19.9,69,25.5,17.5
Melbourne_2018_104542_110536,19.9,69,25.5,17.5
Melbourne_2018_105041_105683,25.3,39,17.6,25.2
Melbourne_2018_106210_106324,25.5,38,17.8,24.8
Melbourne_2018_105916_105430,25.5,38,17.8,24.8
Melbourne_2018_104269_105138,25.1,38,19.7,23.3
Melbourne_2018_103898_106121,25.5,38,17.8,24.8
Melbourne_2018_105173_126610,25.1,38,19.7,23.3
Melbourne_2018_106044_111442,24.2,45,17.8,22.2
Melbourne_2018_109739_105649,25.1,38,19.7,23.3
Melbourne_2018_132283_104898,23.1,54,16.8,21.6
Melbourne_2018_105023_103852,23.1,54,16.8,21.6
Melbourne_2018_100644_105341,25.3,39,17.6,25.2
Melbourne_2018_105676_104897,25.1,38,19.7,23.3
Melbourne_2018_105376_105062,25.3,39,17.6,25.2
Melbourne_2018_104527_105575,19.3,55,11.2,17.8
Melbourne_2018_105077_111577,25.5,38,17.8,24.8
Melbourne_2018_105539_104252,21.6,57,12.8,20.6
Melbourne_2018_106045_105449,25.0,39,17.1,25.1
Melbourne_2018_104925_105385,21.7,53,12.1,21.7
Melbourne_2018_105815_104871,21.7,53,12.1,21.7
Melbourne_2018_105065_200615,21.7,53,12.1,21.7
Melbourne_2018_104926_104547,21.7,53,12.1,21.7
Melbourne_2018_105526_126952,25.3,39,17.6,25.2
Melbourne_2018_106421_106423,21.7,53,12.1,21.7
Melbourne_2018_104792_144719,21.7,53,12.1,21.7
Melbourne_2018_104755_104882,21.7,53,12.1,21.7
Melbourne_2018_111575_105166,24.3,40,15.8,24.5
Melbourne_2018_104198_105332,24.3,40,15.8,24.5
Melbourne_2018_111202_104999,24.3,40,15.8,24.5
Melbourne_2018_104607_200282,24.3,40,15.8,24.5
Melbourne_2018_103819_105379,25.3,39,17.6,25.2
Melbourne_2018_106233_105550,21.7,53,12.1,21.7
Melbourne_2018_105223_126207,24.3,40,15.8,24.5
Melbourne_2018_105932_105074,26.5,37,12.4,25.1
Melbourne_2018_104180_104291,28.3,44,9.9,30.7
Melbourne_2018_104312_106415,18.9,81,7.2,19.7
Melbourne_2018_105807_104468,22.4,61,7.5,22.8
Melbourne_2018_104542_133430,24.9,44,10.5,23.9
Melbourne_2018_106378_104797,24.9,44,10.5,23.9
Melbourne_2018_103333_105216,27.8,47,9.1,31.1
Melbourne_2018_105227_105311,27.8,42,12.7,28.4
Melbourne_2018_106000_105357,27.0,46,7.0,30.5
Melbourne_2018_105992_104655,27.0,46,7.0,30.5
Melbourne_2018_104745_104919,25.8,45,4.0,29.2
Melbourne_2018_106043_134770,21.5,55,1.8,22.9
Melbourne_2018_126094_104571,21.5,55,1.8,22.9
Melbourne_2018_106401_104678,21.5,55,1.8,22.9
Melbourne_2018_105777_111456,21.5,55,1.8,22.9
Melbourne_2018_105238_105051,27.8,47,9.1,31.1
Melbourne_2018_105916_105023,37.6,15,18.7,36.2
Melbourne_2018_105077_105065,28.5,25,18.8,24.8
Melbourne_2018_106233_106045,28.9,28,16.6,26.2
Melbourne_2018_106044_105041,35.8,23,7.4,35.3
Melbourne_2018_104607_104198,35.8,23,7.4,35.3
Melbourne_2018_105173_106210,38.0,14,10.2,35.6
Melbourne_2018_104926_105539,38.1,14,16.9,36.5
