match_id,elo_winner,elo_loser,surface_elo_winner,surface_elo_loser,blended_elo_winner,blended_elo_loser
Brisbane_2018_105238_106043,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0
Brisbane_2018_200282_105449,1600.0,1900.0,1600.0,1900.0,1600.0,1900.0
Doha_2018_126774_104252,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Brisbane_2018_104999_105441,1900.0,1600.0,1900.0,1600.0,1900.0,1600.0
Brisbane_2018_104547_124014,1800.0,1600.0,1800.0,1600.0,1800.0,1600.0
Brisbane_2018_111577_111442,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Doha_2018_104269_104534,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Doha_2018_106233_105539,2000.0,1800.0,2000.0,1800.0,2000.0,1800.0
Doha_2018_105932_105341,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Pune_2018_105732_106065,1800.0,1600.0,1800.0,1600.0,1800.0,1600.0
Doha_2018_126094_105649,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Pune_2018_105916_106044,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Pune_2018_105062_105430,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Pune_2018_106120_106210,1600.0,1800.0,1600.0,1800.0,1600.0,1800.0
Pune_2018_104468_105815,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Pune_2018_106368_106148,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
Brisbane_2018_105992_104919,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Brisbane_2018_105051_126207,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Pune_2018_111797_104665,1600.0,1500.0,1600.0,1500.0,1600.0,1500.0
Brisbane_2018_111202_104180,1800.0,1900.0,1800.0,1900.0,1800.0,1900.0
Brisbane_2018_106378_133430,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Brisbane_2018_104797_106000,1800.0,1900.0,1800.0,1900.0,1800.0,1900.0
Brisbane_2018_111581_105643,1600.0,1800.0,1600.0,1800.0,1600.0,1800.0
Brisbane_2018_105357_105166,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
Doha_2018_105806_104890,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
