match_id,Round_Num,Winner_Set_Diff_Tournament,Winner_Game_Diff_Tournament,Loser_Set_Diff_Tournament,Loser_Game_Diff_Tournament
Brisbane_2018_105238_106043,1,0.0,0.0,0.0,0.0
Brisbane_2018_200282_105449,1,0.0,0.0,0.0,0.0
Brisbane_2018_105992_104919,1,0.0,0.0,0.0,0.0
Brisbane_2018_105051_126207,1,0.0,0.0,0.0,0.0
Brisbane_2018_104999_105441,1,0.0,0.0,0.0,0.0
Brisbane_2018_104547_124014,1,0.0,0.0,0.0,0.0
Brisbane_2018_111577_111442,1,0.0,0.0,0.0,0.0
Doha_2018_126094_105649,1,0.0,0.0,0.0,0.0
Doha_2018_104269_104534,1,0.0,0.0,0.0,0.0
Doha_2018_106233_105539,1,0.0,0.0,0.0,0.0
Doha_2018_105932_105341,1,0.0,0.0,0.0,0.0
Doha_2018_126774_104252,1,0.0,0.0,0.0,0.0
Pune_2018_111797_104665,1,0.0,0.0,0.0,0.0
Pune_2018_105916_106044,1,0.0,0.0,0.0,0.0
Pune_2018_105062_105430,1,0.0,0.0,0.0,0.0
Pune_2018_106120_106210,1,0.0,0.0,0.0,0.0
Pune_2018_105732_106065,1,0.0,0.0,0.0,0.0
Pune_2018_104468_105815,1,0.0,0.0,0.0,0.0
Pune_2018_106368_106148,1,0.0,0.0,0.0,0.0
Brisbane_2018_111581_105643,1,0.0,0.0,0.0,0.0
Brisbane_2018_111202_104180,1,0.0,0.0,0.0,0.0
Brisbane_2018_106378_133430,1,0.0,0.0,0.0,0.0
Brisbane_2018_104797_106000,1,0.0,0.0,0.0,0.0
Brisbane_2018_105357_105166,1,0.0,0.0,0.0,0.0
Doha_2018_106432_105807,1,0.0,0.0,0.0,0.0
Doha_2018_105806_104890,1,0.0,0.0,0.0,0.0
Doha_2018_103852_104198,1,0.0,0.0,0.0,0.0
Doha_2018_105376_105936,1,0.0,0.0,0.0,0.0
Doha_2018_105379_104291,1,0.0,0.0,0.0,0.0
Doha_2018_126610_104678,1,0.0,0.0,0.0,0.0
Doha_2018_105526_104607,1,0.0,0.0,0.0,0.0
Doha_2018_105882_106325,1,0.0,0.0,0.0,0.0
Doha_2018_104755_103607,1,0.0,0.0,0.0,0.0
Doha_2018_105550_105077,1,0.0,0.0,0.0,0.0
Doha_2018_104792_103893,1,0.0,0.0,0.0,0.0
Pune_2018_125802_111576,1,0.0,0.0,0.0,0.0
Pune_2018_111513_105657,1,0.0,0.0,0.0,0.0
Pune_2018_104898_104882,1,0.0,0.0,0.0,0.0
Pune_2018_106026_111459,1,0.0,0.0,0.0,0.0
Pune_2018_106329_105074,1,0.0,0.0,0.0,0.0
Brisbane_2018_105238_104547,2,2.0,3.0,2.0,5.0
Brisbane_2018_106401_105051,2,0.0,0.0,2.0,7.0
Brisbane_2018_111581_104999,2,2.0,5.0,2.0,4.0
Brisbane_2018_200282_105683,2,2.0,3.0,0.0,0.0
Doha_2018_106432_105932,2,1.0,3.0,2.0,5.0
Doha_2018_105806_103852,2,2.0,5.0,1.0,1.0
Doha_2018_126094_104269,2,1.0,5.0,1.0,6.0
Doha_2018_105376_126610,2,2.0,7.0,1.0,1.0
Doha_2018_106233_105379,2,2.0,4.0,2.0,7.0
Doha_2018_105550_105882,2,1.0,0.0,2.0,9.0
Doha_2018_104792_105526,2,1.0,2.0,1.0,-2.0
Doha_2018_126774_104755,2,1.0,2.0,2.0,10.0
Pune_2018_105332_105916,2,0.0,0.0,2.0,9.0
Pune_2018_105732_106026,2,1.0,4.0,2.0,5.0
Pune_2018_104898_111797,2,2.0,3.0,1.0,3.0
Pune_2018_104468_105138,2,2.0,7.0,0.0,0.0
Pune_2018_105062_111513,2,2.0,5.0,1.0,2.0
Pune_2018_105227_106368,2,0.0,0.0,2.0,5.0
Pune_2018_106120_125802,2,2.0,4.0,2.0,6.0
Pune_2018_104731_106329,2,0.0,0.0,1.0,3.0
Brisbane_2018_104797_111577,2,1.0,6.0,2.0,6.0
Brisbane_2018_105992_105870,2,1.0,3.0,0.0,0.0
Brisbane_2018_106378_111202,2,1.0,2.0,2.0,4.0
Brisbane_2018_105777_105357,2,0.0,0.0,2.0,7.0
Doha_2018_105550_105806,5,3.0,4.0,4.0,8.0
Doha_2018_126094_106432,5,2.0,6.0,3.0,11.0
Doha_2018_106233_126774,5,4.0,8.0,3.0,7.0
Doha_2018_104792_105376,5,2.0,3.0,4.0,15.0
Pune_2018_105227_105732,5,2.0,5.0,2.0,7.0
Pune_2018_104468_106120,5,4.0,11.0,4.0,8.0
Pune_2018_104731_105062,5,1.0,1.0,4.0,8.0
Pune_2018_105332_104898,5,1.0,2.0,3.0,3.0
Brisbane_2018_200282_111581,5,4.0,7.0,3.0,9.0
Brisbane_2018_106401_105238,5,1.0,4.0,4.0,12.0
Brisbane_2018_105992_104797,5,2.0,8.0,3.0,11.0
Brisbane_2018_105777_106378,5,1.0,2.0,2.0,3.0
Doha_2018_126094_105550,6,4.0,11.0,5.0,11.0
Doha_2018_104792_106233,6,4.0,7.0,6.0,12.0
Pune_2018_104468_105227,6,6.0,18.0,4.0,12.0
Pune_2018_104731_105332,6,2.0,6.0,2.0,3.0
Brisbane_2018_105992_200282,6,3.0,9.0,6.0,15.0
Brisbane_2018_106401_105777,6,2.0,4.0,2.0,6.0
Doha_2018_104792_126094,7,4.0,7.0,5.0,14.0
Pune_2018_104468_104731,7,7.0,20.0,3.0,11.0
Auckland_2018_105311_105385,1,0.0,0.0,0.0,0.0
Sydney_2018_103893_111442,1,0.0,0.0,0.0,0.0
Sydney_2018_105238_104678,1,0.0,0.0,0.0,0.0
Sydney_2018_106000_105526,1,0.0,0.0,0.0,0.0
Brisbane_2018_106401_105992,7,3.0,8.0,4.0,10.0
Auckland_2018_103970_200059,1,0.0,0.0,0.0,0.0
Auckland_2018_111575_105216,1,0.0,0.0,0.0,0.0
Auckland_2018_105138_105030,1,0.0,0.0,0.0,0.0
Auckland_2018_133430_104297,1,0.0,0.0,0.0,0.0
Auckland_2018_104655_106121,1,0.0,0.0,0.0,0.0
Auckland_2018_105376_105065,1,0.0,0.0,0.0,0.0
Sydney_2018_105575_106109,1,0.0,0.0,0.0,0.0
Sydney_2018_105357_200615,1,0.0,0.0,0.0,0.0
Sydney_2018_106421_104259,1,0.0,0.0,0.0,0.0
Sydney_2018_105173_105539,1,0.0,0.0,0.0,0.0
Auckland_2018_105449_132482,1,0.0,0.0,0.0,0.0
Auckland_2018_106210_105430,1,0.0,0.0,0.0,0.0
Auckland_2018_105041_126774,1,0.0,0.0,0.0,0.0
Auckland_2018_104898_134770,1,0.0,0.0,0.0,0.0
Auckland_2018_111202_105815,1,0.0,0.0,0.0,0.0
Sydney_2018_104919_104999,1,0.0,0.0,0.0,0.0
Sydney_2018_103852_126846,1,0.0,0.0,0.0,0.0
Sydney_2018_200282_104269,1,0.0,0.0,0.0,0.0
Sydney_2018_105332_105379,1,0.0,0.0,0.0,0.0
Sydney_2018_111577_104468,1,0.0,0.0,0.0,0.0
Auckland_2018_105138_105449,2,2.0,9.0,2.0,3.0
Auckland_2018_104898_105041,2,1.0,-2.0,1.0,5.0
Auckland_2018_106210_105023,2,1.0,3.0,0.0,0.0
Auckland_2018_105376_106058,2,1.0,4.0,0.0,0.0
Auckland_2018_103970_105311,2,2.0,3.0,1.0,5.0
