ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tournament_id,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Basilashvili N.,Arnaboldi A.,40.0,267.0,1395.0,206.0,4.0,6.0,7.0,5.0,6.0,1.0,,,,,2.0,1.0,Completed,1.5,2.5,1.61,2.44,1.67,2.56,1.56,2.42,Antalya_ATP250_2021,105063,105932,Antalya_ATP250_2021_105932_105063,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Celikbilek A.,Zuk K.,309.0,262.0,150.0,209.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.63,1.54,2.7,1.55,2.57,1.5,Antalya_ATP250_2021,200390,123795,Antalya_ATP250_2021_123795_200390,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Ruusuvuori E.,Vesely J.,87.0,67.0,806.0,928.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.56,2.58,1.63,3.03,1.52,2.53,Antalya_ATP250_2021,106210,200325,Antalya_ATP250_2021_200325_106210,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Bublik A.,Caruso S.,49.0,76.0,1090.0,858.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.81,2.09,1.87,2.3,1.72,2.11,Antalya_ATP250_2021,106099,122330,Antalya_ATP250_2021_122330_106099,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Goffin D.,Herbert P.H.,16.0,83.0,2555.0,822.0,3.0,6.0,7.0,5.0,6.0,0.0,,,,,2.0,1.0,Completed,1.4,2.75,1.46,2.92,1.5,3.0,1.44,2.78,Antalya_ATP250_2021,105732,105676,Antalya_ATP250_2021_105676_105732,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-07,ATP250,Indoor,Hard,1st Round,3.0,Travaglia S.,Kecmanovic M.,75.0,42.0,869.0,1328.0,1.0,6.0,6.0,4.0,6.0,0.0,,,,,2.0,1.0,Completed,2.62,1.44,2.8,1.49,2.85,1.5,2.71,1.45,Antalya_ATP250_2021,200175,105882,Antalya_ATP250_2021_105882_200175,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Struff J.L.,Kotov P.,37.0,269.0,1450.0,205.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.0,1.24,4.44,1.27,4.6,1.22,4.16,Antalya_ATP250_2021,200303,105526,Antalya_ATP250_2021_105526_200303,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Lamasine T.,Gerasimov E.,271.0,78.0,204.0,840.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,5.0,1.16,5.74,1.17,5.74,1.22,5.12,1.16,Antalya_ATP250_2021,106078,106137,Antalya_ATP250_2021_106137_106078,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Andreev A.,Ilhan M.,564.0,571.0,52.0,51.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.2,4.33,1.24,4.53,1.25,4.65,1.22,4.24,Antalya_ATP250_2021,104947,202090,Antalya_ATP250_2021_202090_104947,0.0,0.0,0.0,0.0
1,Antalya,Antalya Open,2021-01-08,ATP250,Indoor,Hard,1st Round,3.0,Grenier H.,Molcan A.,250.0,313.0,220.0,145.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,1.9,2.0,1.89,2.05,2.0,1.87,1.92,Antalya_ATP250_2021,144684,126409,Antalya_ATP250_2021_126409_144684,0.0,0.0,0.0,0.0
