,0
10500,"{'temperature_2m': 28.6, 'relative_humidity_2m': 30, 'windspeed_10m': 6.9, 'apparent_temperature': 27.5}"
10501,"{'temperature_2m': 27.8, 'relative_humidity_2m': 34, 'windspeed_10m': 4.7, 'apparent_temperature': 27.3}"
10502,"{'temperature_2m': 29.8, 'relative_humidity_2m': 27, 'windspeed_10m': 9.2, 'apparent_temperature': 29.5}"
10503,"{'temperature_2m': 28.7, 'relative_humidity_2m': 29, 'windspeed_10m': 11.4, 'apparent_temperature': 29.0}"
10504,"{'temperature_2m': 37.7, 'relative_humidity_2m': 19, 'windspeed_10m': 14.3, 'apparent_temperature': 37.0}"
10505,"{'temperature_2m': 25.1, 'relative_humidity_2m': 53, 'windspeed_10m': 8.3, 'apparent_temperature': 26.3}"
10506,"{'temperature_2m': 34.6, 'relative_humidity_2m': 29, 'windspeed_10m': 12.4, 'apparent_temperature': 35.2}"
10507,"{'temperature_2m': 38.0, 'relative_humidity_2m': 17, 'windspeed_10m': 12.2, 'apparent_temperature': 37.0}"
10508,"{'temperature_2m': 38.8, 'relative_humidity_2m': 17, 'windspeed_10m': 13.0, 'apparent_temperature': 37.0}"
10509,"{'temperature_2m': 25.7, 'relative_humidity_2m': 53, 'windspeed_10m': 19.1, 'apparent_temperature': 24.7}"
10510,"{'temperature_2m': 18.8, 'relative_humidity_2m': 91, 'windspeed_10m': 6.9, 'apparent_temperature': 20.5}"
10511,"{'temperature_2m': 20.4, 'relative_humidity_2m': 83, 'windspeed_10m': 3.6, 'apparent_temperature': 22.5}"
10512,"{'temperature_2m': 24.5, 'relative_humidity_2m': 64, 'windspeed_10m': 9.7, 'apparent_temperature': 25.8}"
10513,"{'temperature_2m': 24.5, 'relative_humidity_2m': 56, 'windspeed_10m': 10.6, 'apparent_temperature': 25.0}"
10514,"{'temperature_2m': 23.1, 'relative_humidity_2m': 49, 'windspeed_10m': 4.4, 'apparent_temperature': 23.1}"
10515,"{'temperature_2m': 24.4, 'relative_humidity_2m': 43, 'windspeed_10m': 8.3, 'apparent_temperature': 25.0}"
10516,"{'temperature_2m': 21.5, 'relative_humidity_2m': 63, 'windspeed_10m': 5.6, 'apparent_temperature': 22.7}"
10517,"{'temperature_2m': 23.2, 'relative_humidity_2m': 45, 'windspeed_10m': 8.4, 'apparent_temperature': 23.9}"
10518,"{'temperature_2m': 23.1, 'relative_humidity_2m': 49, 'windspeed_10m': 4.4, 'apparent_temperature': 23.1}"
10519,"{'temperature_2m': 21.5, 'relative_humidity_2m': 63, 'windspeed_10m': 5.6, 'apparent_temperature': 22.7}"
10520,"{'temperature_2m': 23.2, 'relative_humidity_2m': 45, 'windspeed_10m': 8.4, 'apparent_temperature': 23.9}"
10521,"{'temperature_2m': 19.7, 'relative_humidity_2m': 56, 'windspeed_10m': 16.4, 'apparent_temperature': 17.5}"
10522,"{'temperature_2m': 26.2, 'relative_humidity_2m': 32, 'windspeed_10m': 4.7, 'apparent_temperature': 25.1}"
10523,"{'temperature_2m': 18.4, 'relative_humidity_2m': 59, 'windspeed_10m': 13.9, 'apparent_temperature': 16.5}"
10524,"{'temperature_2m': 27.0, 'relative_humidity_2m': 37, 'windspeed_10m': 8.7, 'apparent_temperature': 28.3}"
10525,"{'temperature_2m': 25.9, 'relative_humidity_2m': 51, 'windspeed_10m': 7.1, 'apparent_temperature': 28.1}"
10526,"{'temperature_2m': 18.9, 'relative_humidity_2m': 56, 'windspeed_10m': 17.4, 'apparent_temperature': 16.3}"
10527,"{'temperature_2m': 27.3, 'relative_humidity_2m': 29, 'windspeed_10m': 10.1, 'apparent_temperature': 25.9}"
10528,"{'temperature_2m': 19.6, 'relative_humidity_2m': 57, 'windspeed_10m': 15.0, 'apparent_temperature': 17.6}"
10529,"{'temperature_2m': 18.5, 'relative_humidity_2m': 55, 'windspeed_10m': 18.4, 'apparent_temperature': 15.6}"
10530,"{'temperature_2m': 22.6, 'relative_humidity_2m': 59, 'windspeed_10m': 7.3, 'apparent_temperature': 23.6}"
10531,"{'temperature_2m': 20.3, 'relative_humidity_2m': 76, 'windspeed_10m': 5.5, 'apparent_temperature': 22.2}"
10532,"{'temperature_2m': 19.1, 'relative_humidity_2m': 56, 'windspeed_10m': 20.0, 'apparent_temperature': 16.3}"
10533,"{'temperature_2m': 25.1, 'relative_humidity_2m': 54, 'windspeed_10m': 8.4, 'apparent_temperature': 27.3}"
10534,"{'temperature_2m': 28.3, 'relative_humidity_2m': 35, 'windspeed_10m': 17.8, 'apparent_temperature': 26.2}"
10535,"{'temperature_2m': 30.6, 'relative_humidity_2m': 36, 'windspeed_10m': 7.1, 'apparent_temperature': 31.5}"
10536,"{'temperature_2m': 28.6, 'relative_humidity_2m': 57, 'windspeed_10m': 4.7, 'apparent_temperature': 31.4}"
10537,"{'temperature_2m': 30.8, 'relative_humidity_2m': 50, 'windspeed_10m': 6.7, 'apparent_temperature': 33.2}"
10538,"{'temperature_2m': 30.8, 'relative_humidity_2m': 50, 'windspeed_10m': 6.7, 'apparent_temperature': 33.2}"
10539,"{'temperature_2m': 31.3, 'relative_humidity_2m': 53, 'windspeed_10m': 12.1, 'apparent_temperature': 33.9}"
10540,"{'temperature_2m': 29.0, 'relative_humidity_2m': 39, 'windspeed_10m': 4.1, 'apparent_temperature': 29.6}"
10541,"{'temperature_2m': 30.6, 'relative_humidity_2m': 36, 'windspeed_10m': 7.1, 'apparent_temperature': 31.5}"
10542,"{'temperature_2m': 29.1, 'relative_humidity_2m': 54, 'windspeed_10m': 4.6, 'apparent_temperature': 31.6}"
10543,"{'temperature_2m': 30.4, 'relative_humidity_2m': 36, 'windspeed_10m': 9.8, 'apparent_temperature': 31.4}"
10544,"{'temperature_2m': 29.3, 'relative_humidity_2m': 46, 'windspeed_10m': 8.1, 'apparent_temperature': 31.4}"
10545,"{'temperature_2m': 29.3, 'relative_humidity_2m': 46, 'windspeed_10m': 8.1, 'apparent_temperature': 31.4}"
10546,"{'temperature_2m': 29.3, 'relative_humidity_2m': 60, 'windspeed_10m': 7.2, 'apparent_temperature': 32.4}"
10547,"{'temperature_2m': 28.8, 'relative_humidity_2m': 63, 'windspeed_10m': 9.9, 'apparent_temperature': 31.7}"
10548,"{'temperature_2m': 29.4, 'relative_humidity_2m': 67, 'windspeed_10m': 8.9, 'apparent_temperature': 34.4}"
10549,"{'temperature_2m': 30.4, 'relative_humidity_2m': 36, 'windspeed_10m': 9.8, 'apparent_temperature': 31.4}"
10550,"{'temperature_2m': 29.0, 'relative_humidity_2m': 63, 'windspeed_10m': 16.9, 'apparent_temperature': 32.3}"
10551,"{'temperature_2m': 21.8, 'relative_humidity_2m': 61, 'windspeed_10m': 9.7, 'apparent_temperature': 22.4}"
10552,"{'temperature_2m': 27.7, 'relative_humidity_2m': 53, 'windspeed_10m': 15.9, 'apparent_temperature': 28.0}"
10553,"{'temperature_2m': 29.8, 'relative_humidity_2m': 49, 'windspeed_10m': 19.8, 'apparent_temperature': 29.7}"
10554,"{'temperature_2m': 29.8, 'relative_humidity_2m': 49, 'windspeed_10m': 19.8, 'apparent_temperature': 29.7}"
10555,"{'temperature_2m': 29.8, 'relative_humidity_2m': 49, 'windspeed_10m': 19.8, 'apparent_temperature': 29.7}"
10556,"{'temperature_2m': 30.5, 'relative_humidity_2m': 45, 'windspeed_10m': 17.5, 'apparent_temperature': 30.6}"
10557,"{'temperature_2m': 16.9, 'relative_humidity_2m': 90, 'windspeed_10m': 4.3, 'apparent_temperature': 18.0}"
10558,"{'temperature_2m': 27.7, 'relative_humidity_2m': 53, 'windspeed_10m': 15.9, 'apparent_temperature': 28.0}"
10559,"{'temperature_2m': 30.5, 'relative_humidity_2m': 58, 'windspeed_10m': 11.3, 'apparent_temperature': 34.5}"
10560,"{'temperature_2m': 19.8, 'relative_humidity_2m': 79, 'windspeed_10m': 6.9, 'apparent_temperature': 21.0}"
10561,"{'temperature_2m': 19.8, 'relative_humidity_2m': 79, 'windspeed_10m': 6.9, 'apparent_temperature': 21.0}"
10562,"{'temperature_2m': 29.9, 'relative_humidity_2m': 60, 'windspeed_10m': 12.6, 'apparent_temperature': 33.1}"
10563,"{'temperature_2m': 29.9, 'relative_humidity_2m': 60, 'windspeed_10m': 12.6, 'apparent_temperature': 33.1}"
10564,"{'temperature_2m': 29.2, 'relative_humidity_2m': 63, 'windspeed_10m': 11.3, 'apparent_temperature': 33.0}"
10565,"{'temperature_2m': 29.2, 'relative_humidity_2m': 63, 'windspeed_10m': 11.3, 'apparent_temperature': 33.0}"
10566,"{'temperature_2m': 21.5, 'relative_humidity_2m': 63, 'windspeed_10m': 8.9, 'apparent_temperature': 21.6}"
10567,"{'temperature_2m': 30.5, 'relative_humidity_2m': 45, 'windspeed_10m': 17.5, 'apparent_temperature': 30.6}"
10568,"{'temperature_2m': 27.9, 'relative_humidity_2m': 51, 'windspeed_10m': 5.5, 'apparent_temperature': 29.5}"
10569,"{'temperature_2m': 19.5, 'relative_humidity_2m': 78, 'windspeed_10m': 6.6, 'apparent_temperature': 20.4}"
10570,"{'temperature_2m': 30.8, 'relative_humidity_2m': 35, 'windspeed_10m': 3.9, 'apparent_temperature': 31.4}"
10571,"{'temperature_2m': 30.8, 'relative_humidity_2m': 35, 'windspeed_10m': 3.9, 'apparent_temperature': 31.4}"
10572,"{'temperature_2m': 16.5, 'relative_humidity_2m': 94, 'windspeed_10m': 1.8, 'apparent_temperature': 18.1}"
