url,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,loser_name,loser_rank,Wsets,Lsets,minutes,W1,W2,L1,L2,w_ace,l_ace,w_df,l_df,W3,L3,W4,W5,L4,L5,loser_id,winner_id,match_id,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_age,loser_age,tournament_level,AvgW,AvgL,best_of,tournament_name,winner_entry_LL,winner_entry_Q,winner_entry_WC,loser_entry_LL,loser_entry_Q,loser_entry_WC,winner_is_seeded,loser_is_seeded,tournament_id
https://www.livesport.com/en/match/rwFlQphr/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2023-12-31,06:00,finished,Popyrin A.,24.0,O Connell C.,65.0,2.0,1.0,186.0,6.0,6.0,4.0,7.0,12.0,21.0,2.0,0.0,7.0,6.0,,,,,106331,200615,Brisbane_2024_200615_106331,Popyrin Alexei,Australia,1999-08-05,right,O'Connell Christopher,Australia,1994-06-03,right,57.0,71.0,57.0,79.0,17.0,17.0,23.0,26.0,4.0,5.0,7.0,9.0,107.0,127.0,25.0,30.0,ATP250,1.68,2.17,3,Brisbane International,False,False,False,False,False,False,0,0,Brisbane_2024
https://www.livesport.com/en/match/GjDdOOMf/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2023-12-31,06:40,finished,Shevchenko A.,78.0,Van Assche L.,128.0,2.0,0.0,75.0,6.0,6.0,3.0,2.0,6.0,3.0,0.0,1.0,,,,,,,209414,207686,Brisbane_2024_207686_209414,Shevchenko Alexander,Kazakhstan,2000-11-29,right,Van Assche Luca,France,2004-05-11,right,26.0,35.0,21.0,47.0,9.0,8.0,13.0,11.0,2.0,2.0,4.0,7.0,52.0,59.0,24.0,20.0,ATP250,1.7,2.14,3,Brisbane International,False,False,False,False,False,False,0,0,Brisbane_2024
https://www.livesport.com/en/match/CI65M2i7/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-01-01,07:10,finished,Rune H.,13.0,Purcell M.,104.0,2.0,1.0,102.0,4.0,6.0,6.0,4.0,12.0,6.0,0.0,3.0,6.0,2.0,,,,,126845,208029,Brisbane_2024_208029_126845,Rune Holger,Denmark,2003-04-29,right,Purcell Max,Australia,1998-04-03,right,43.0,58.0,35.0,48.0,14.0,14.0,8.0,13.0,3.0,5.0,2.0,6.0,72.0,74.0,21.0,26.0,ATP250,1.28,3.65,3,Brisbane International,False,False,False,False,False,False,1,0,Brisbane_2024
https://www.livesport.com/en/match/Y37NMQ3t/#/match-summary,Hong Kong,HONG KONG,HARD,outdoor,3rd Round,2024-01-01,09:35,finished,Kotov P.,85.0,Borges N.,33.0,2.0,0.0,89.0,6.0,6.0,2.0,4.0,4.0,4.0,2.0,2.0,,,,,,,132686,200303,Hong Kong_2024_200303_132686,Kotov Pavel,Russia,1998-11-18,right,Borges Nuno,Portugal,1997-02-19,right,33.0,45.0,20.0,34.0,9.0,9.0,6.0,15.0,2.0,3.0,2.0,6.0,57.0,65.0,26.0,27.0,ATP250,1.97,1.81,3,Hong Kong Tennis Open,False,False,False,False,False,False,0,0,Hong Kong_2024
https://www.livesport.com/en/match/tUAVK4Yh/#/match-summary,Hong Kong,HONG KONG,HARD,outdoor,3rd Round,2024-01-01,07:10,finished,Shang J.,50.0,Djere L.,115.0,2.0,1.0,174.0,6.0,6.0,7.0,3.0,4.0,11.0,0.0,3.0,7.0,6.0,,,,,111513,209992,Hong Kong_2024_209992_111513,Shang Juncheng,China,2005-02-02,left,Djere Laslo,Serbia,1995-06-02,right,52.0,64.0,65.0,88.0,16.0,17.0,19.0,11.0,0.0,2.0,7.0,11.0,96.0,122.0,19.0,29.0,ATP250,2.13,1.7,3,Hong Kong Tennis Open,False,False,True,False,False,False,0,1,Hong Kong_2024
https://www.livesport.com/en/match/IFceqQbK/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-01-01,04:20,finished,Safiullin R.,60.0,Shelton B.,21.0,2.0,1.0,159.0,6.0,6.0,3.0,7.0,8.0,12.0,6.0,6.0,6.0,3.0,,,,,210097,126128,Brisbane_2024_126128_210097,Safiullin Roman,Russia,1997-08-07,right,Shelton Ben,USA,2002-10-09,left,44.0,50.0,53.0,69.0,16.0,14.0,28.0,16.0,5.0,5.0,9.0,11.0,95.0,103.0,27.0,22.0,ATP250,2.24,1.63,3,Brisbane International,False,False,False,False,False,False,0,1,Brisbane_2024
https://www.livesport.com/en/match/zT3vJr35/#/match-summary,Hong Kong,HONG KONG,HARD,outdoor,3rd Round,2024-01-01,13:15,finished,Van De Zandschulp B.,80.0,Mochizuki S.,248.0,2.0,0.0,99.0,7.0,6.0,5.0,1.0,3.0,1.0,3.0,1.0,,,,,,,208278,122298,Hong Kong_2024_122298_208278,Van De Zandschulp Botic,Netherlands,1995-10-04,right,Mochizuki Shintaro,Japan,2003-06-02,right,30.0,42.0,20.0,26.0,10.0,9.0,14.0,10.0,10.0,12.0,5.0,10.0,71.0,59.0,29.0,21.0,ATP250,1.3,3.48,3,Hong Kong Tennis Open,False,False,False,False,False,True,0,0,Hong Kong_2024
https://www.livesport.com/en/match/vPbip6qE/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-01-01,09:50,finished,Dimitrov G.,10.0,Murray A.,2000.0,2.0,1.0,147.0,4.0,7.0,6.0,5.0,13.0,4.0,2.0,0.0,6.0,2.0,,,,,104918,105777,Brisbane_2024_105777_104918,Dimitrov Grigor,Bulgaria,1991-05-16,right,Murray Andy,Great Britain,1987-5-15,right,42.0,51.0,32.0,51.0,15.0,15.0,16.0,21.0,3.0,5.0,4.0,8.0,82.0,86.0,33.0,37.0,ATP250,1.33,3.25,3,Brisbane International,False,False,False,False,False,False,1,0,Brisbane_2024
https://www.livesport.com/en/match/Oh0zKOma/#/match-summary,Hong Kong,HONG KONG,HARD,outdoor,3rd Round,2024-01-01,10:20,finished,Ruusuvuori E.,95.0,Bonzi B.,75.0,2.0,1.0,160.0,6.0,6.0,7.0,2.0,5.0,5.0,4.0,2.0,6.0,1.0,,,,,126127,200325,Hong Kong_2024_200325_126127,Ruusuvuori Emil,Finland,1999-04-02,right,Bonzi Benjamin,France,1996-06-09,right,33.0,51.0,44.0,71.0,13.0,14.0,25.0,13.0,4.0,7.0,17.0,25.0,98.0,113.0,25.0,28.0,ATP250,1.55,2.38,3,Hong Kong Tennis Open,False,False,False,False,False,False,0,0,Hong Kong_2024
https://www.livesport.com/en/match/Cjl0PTN8/#/match-summary,Hong Kong,HONG KONG,HARD,outdoor,3rd Round,2024-01-02,07:05,finished,Kecmanovic M.,54.0,Daniel T.,83.0,2.0,0.0,71.0,6.0,6.0,3.0,2.0,5.0,2.0,1.0,1.0,,,,,,,106121,200175,Hong Kong_2024_200175_106121,Kecmanovic Miomir,Serbia,1999-08-31,right,Daniel Taro,Japan,1993-01-27,right,25.0,32.0,24.0,39.0,9.0,8.0,10.0,6.0,1.0,2.0,3.0,7.0,46.0,55.0,25.0,31.0,ATP250,1.55,2.41,3,Hong Kong Tennis Open,False,False,False,False,True,False,0,0,Hong Kong_2024
