url,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,winner_seed,loser_name,loser_rank,loser_seed,Wsets,Lsets,minutes,W1,W2,L1,L2,w_ace,l_ace,w_df,l_df,W3,L3,W4,W5,L4,L5,loser_id,winner_id,match_id,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_entry,loser_entry,winner_age,loser_age,tournament_level,AvgW,AvgL,best_of,tournament_name
https://www.livesport.com/en/match/hrB0HLYB/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,FINAL,2024-01-07,07:55,FINISHED,Dimitrov G.,10,2,Rune H.,13,1,2,0,2:19,"7
7",6,"6
5",4,8,9,2,3,,,,,,,208029,105777,Brisbane_2024_105777_208029,Dimitrov Grigor,Bulgaria,1991-05-16,right,Rune Holger,Denmark,2003-04-29,right,40,52,44,58,11,11,13,16,3,3,8,9,74,95,,,33.0,21.0,ATP250,1.93,1.86,3,Brisbane International
https://www.livesport.com/en/match/rulXp2l4/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,SEMI-FINALS,2024-01-06,11:40,FINISHED,Dimitrov G.,10,2,Thompson J.,26,,2,0,1:47,6,7,3,5,10,5,3,1,,,,,,,111442,105777,Brisbane_2024_105777_111442,Dimitrov Grigor,Bulgaria,1991-05-16,right,Thompson Jordan,Australia,1994-04-20,right,39,45,24,39,11,10,10,14,6,6,5,7,67,62,,,33.0,30.0,ATP250,1.23,4.07,3,Brisbane International
https://www.livesport.com/en/match/nBebMPXT/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,SEMI-FINALS,2024-01-06,06:05,FINISHED,Rune H.,13,1,Safiullin R.,60,,2,0,1:39,6,"7
7",4,"6
0",7,5,4,5,,,,,,,126128,208029,Brisbane_2024_208029_126128,Rune Holger,Denmark,2003-04-29,right,Safiullin Roman,Russia,1997-08-07,right,39,48,31,35,11,11,11,10,1,2,5,7,72,66,,,21.0,27.0,ATP250,1.56,2.4,3,Brisbane International
https://www.livesport.com/en/match/8tKKk33i/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,QUARTER-FINALS,2024-01-05,11:35,FINISHED,Thompson J.,26,,Nadal R.,155,,2,1,3:24,5,"7
8",7,"6
6",8,7,3,2,6,3,,,,,104745,111442,Brisbane_2024_111442_104745,Thompson Jordan,Australia,1994-04-20,right,Nadal Rafael,Spain,1986-06-03,left,51,67,58,79,17,16,20,13,6,8,1,3,109,108,,,30.0,38.0,ATP250,5.54,1.14,3,Brisbane International
https://www.livesport.com/en/match/vaNo5gB0/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,QUARTER-FINALS,2024-01-05,08:10,FINISHED,Dimitrov G.,10,2,Hijikata R.,73,,2,0,1:19,6,6,1,4,12,4,2,4,,,,,,,208014,105777,Brisbane_2024_105777_208014,Dimitrov Grigor,Bulgaria,1991-05-16,right,Hijikata Rinky,Australia,2001-02-23,right,26,33,23,34,9,8,12,8,2,2,4,7,50,57,,,33.0,23.0,ATP250,1.13,5.88,3,Brisbane International
https://www.livesport.com/en/match/pxjuNJus/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,QUARTER-FINALS,2024-01-05,06:10,FINISHED,Rune H.,13,1,Duckworth J.,82,,2,0,1:47,6,"7
8",2,"6
6",13,5,0,2,,,,,,,105902,208029,Brisbane_2024_208029_105902,Rune Holger,Denmark,2003-04-29,right,Duckworth James,Australia,1992-01-21,right,31,36,31,51,10,10,17,16,1,1,3,5,65,77,,,21.0,32.0,ATP250,1.16,5.04,3,Brisbane International
https://www.livesport.com/en/match/YLdIEpdL/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,QUARTER-FINALS,2024-01-05,03:50,FINISHED,Safiullin R.,60,,Arnaldi M.,37,,2,0,1:48,"7
7",6,"6
4",2,9,3,3,2,,,,,,,208286,126128,Brisbane_2024_126128_208286,Safiullin Roman,Russia,1997-08-07,right,Arnaldi Matteo,Italy,2001-02-22,right,36,43,27,37,10,10,14,16,2,3,5,8,73,69,,,27.0,23.0,ATP250,1.39,2.96,3,Brisbane International
https://www.livesport.com/en/match/8U59MXRu/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,1/8-FINALS,2024-01-04,09:40,FINISHED,Nadal R.,155,,Kubler J.,752,,2,0,1:21,6,6,1,2,4,1,3,3,,,,,,,106186,104745,Brisbane_2024_104745_106186,Nadal Rafael,Spain,1986-06-03,left,Kubler Jason,Australia,1993-05-19,right,24,30,20,35,8,7,10,2,4,4,2,6,46,46,,,38.0,31.0,ATP250,1.15,5.22,3,Brisbane International
https://www.livesport.com/en/match/hjZ9jNlr/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,1/8-FINALS,2024-01-04,06:40,FINISHED,Dimitrov G.,10,2,Altmaier D.,88,,2,0,1:08,6,6,1,2,6,3,1,3,,,,,,,127157,105777,Brisbane_2024_105777_127157,Dimitrov Grigor,Bulgaria,1991-05-16,right,Altmaier Daniel,Germany,1998-09-12,right,24,26,17,28,8,7,10,6,3,3,2,6,41,49,,,33.0,26.0,ATP250,1.13,5.83,3,Brisbane International
https://www.livesport.com/en/match/Ot0xQhr1/#/match-summary,Brisbane,AUSTRALIA,HARD,outdoor,1/8-FINALS,2024-01-04,03:30,WALKOVER,Thompson J.,26,,Humbert U.,14,,,,,,,,,,,,,,,,,,,200005,111442,Brisbane_2024_111442_200005,Thompson Jordan,Australia,1994-04-20,right,Humbert Ugo,France,1998-06-26,left,,,,,,,,,,,,,,,,,30.0,26.0,ATP250,2.54,1.5,3,Brisbane International
