url,tournament_name,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,loser_name,loser_rank,Wsets,Lsets,minutes,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,w_ace,l_ace,w_df,l_df,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,winner_id,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,loser_id,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_age,loser_age,tournament_level,best_of,winner_entry_LL,winner_entry_Q,winner_entry_WC,loser_entry_LL,loser_entry_Q,loser_entry_WC,winner_is_seeded,loser_is_seeded,tournament_id,match_id
https://www.livesport.com/en/match/f1lHCs0e/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-29,12:55,finished,vukic a.,68.0,goffin d.,54.0,2.0,0.0,83.0,6.0,6.0,,,,2.0,3.0,,,,11.0,3.0,1.0,2.0,Vukic Aleksandar,Australia,1996-04-06,right,126846,Goffin David,Belgium,1990-12-07,right,105676,25.0,31.0,18.0,35.0,9.0,8.0,15.0,15.0,3.0,3.0,2.0,5.0,57.0,61.0,28.0,34.0,ATP 250,3,False,False,True,False,False,False,0,0,brisbane_2025,brisbane_2025_126846_105676
https://www.livesport.com/en/match/239xKP7L/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-30,02:05,finished,michelsen a.,42.0,o'connell c.,70.0,2.0,1.0,142.0,6.0,4.0,7.0,,,4.0,6.0,6.0,,,7.0,13.0,2.0,3.0,Michelsen Alex,USA,2004-08-25,right,210506,O'Connell Christopher,Australia,1994-06-03,right,106331,38.0,49.0,47.0,56.0,16.0,16.0,25.0,21.0,3.0,6.0,2.0,5.0,92.0,101.0,20.0,30.0,ATP 250,3,False,False,False,False,False,False,0,0,brisbane_2025,brisbane_2025_210506_106331
https://www.livesport.com/en/match/r3O9zA3M/#/match-summary,HONG KONG,hong kong,HONG KONG,HARD,outdoor,3rd Round,2024-12-30,12:10,finished,norrie c.,52.0,tien l.,121.0,2.0,0.0,97.0,6.0,7.0,,,,3.0,5.0,,,,11.0,6.0,1.0,5.0,Norrie Cameron,Great Britain,1995-08-23,left,111815,Tien Learner,USA,2005-12-02,left,210530,38.0,60.0,27.0,42.0,11.0,10.0,8.0,11.0,5.0,7.0,5.0,9.0,78.0,69.0,29.0,19.0,ATP 250,3,False,False,False,False,False,False,0,0,hong kong_2025,hong kong_2025_111815_210530
https://www.livesport.com/en/match/ltoyiVm3/#/match-summary,HONG KONG,hong kong,HONG KONG,HARD,outdoor,3rd Round,2024-12-30,07:10,finished,kecmanovic m.,51.0,darderi l.,45.0,2.0,0.0,68.0,6.0,6.0,,,,3.0,3.0,,,,9.0,9.0,1.0,1.0,Kecmanovic Miomir,Serbia,1999-08-31,right,200175,Darderi Luciano,Italy,2002-02-14,right,209260,32.0,39.0,22.0,35.0,9.0,9.0,8.0,10.0,2.0,2.0,6.0,9.0,57.0,53.0,25.0,22.0,ATP 250,3,False,False,False,False,False,False,0,1,hong kong_2025,hong kong_2025_200175_209260
https://www.livesport.com/en/match/MVWVdGS6/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-30,02:05,finished,bonzi b.,64.0,tabilo a.,26.0,2.0,1.0,171.0,6.0,7.0,6.0,,,7.0,6.0,4.0,,,15.0,18.0,2.0,7.0,Bonzi Benjamin,France,1996-06-09,right,126127,Tabilo Alejandro,Chile,1997-06-02,left,126214,57.0,72.0,66.0,84.0,17.0,17.0,23.0,16.0,3.0,4.0,5.0,7.0,110.0,125.0,28.0,27.0,ATP 250,3,False,True,False,False,False,False,0,1,brisbane_2025,brisbane_2025_126127_126214
https://www.livesport.com/en/match/j76HW02l/#/match-summary,HONG KONG,hong kong,HONG KONG,HARD,outdoor,3rd Round,2024-12-30,08:40,finished,sonego l.,55.0,nakashima b.,35.0,2.0,0.0,91.0,7.0,6.0,,,,6.0,3.0,,,,5.0,6.0,1.0,0.0,Sonego Lorenzo,Italy,1995-05-11,right,132283,Nakashima Bryce Nakashima,USA,2004-02-20,right,206909,34.0,38.0,33.0,39.0,11.0,10.0,17.0,10.0,0.0,0.0,1.0,2.0,61.0,56.0,29.0,20.0,ATP 250,3,False,False,False,False,False,False,0,1,hong kong_2025,hong kong_2025_132283_206909
https://www.livesport.com/en/match/rPq4rHDD/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-30,03:45,finished,nishioka y.,65.0,rinderknech a.,61.0,2.0,0.0,75.0,6.0,6.0,,,,3.0,4.0,,,,1.0,6.0,0.0,1.0,Nishioka Yoshihito,Japan,1995-09-27,left,106415,Rinderknech Arthur,France,1995-07-23,right,126239,28.0,32.0,23.0,31.0,10.0,9.0,13.0,11.0,0.0,0.0,1.0,3.0,50.0,51.0,29.0,29.0,ATP 250,3,False,True,False,False,False,False,0,0,brisbane_2025,brisbane_2025_106415_126239
https://www.livesport.com/en/match/SSRcPKq1/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-30,04:40,finished,thompson j.,27.0,berrettini m.,34.0,2.0,1.0,135.0,3.0,6.0,6.0,,,6.0,3.0,4.0,,,6.0,8.0,4.0,1.0,Thompson Jordan,Australia,1994-04-20,right,111442,Berrettini Matteo,Italy,1996-04-12,right,126610,41.0,56.0,41.0,49.0,14.0,14.0,16.0,13.0,2.0,4.0,2.0,5.0,93.0,76.0,30.0,28.0,ATP 250,3,False,False,False,False,False,False,1,0,brisbane_2025,brisbane_2025_111442_126610
https://www.livesport.com/en/match/S4qBYOME/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-30,05:15,finished,jarry n.,36.0,navone m.,47.0,2.0,0.0,110.0,7.0,7.0,,,,5.0,6.0,,,,7.0,10.0,1.0,1.0,Jarry Nicolas,Chile,1995-10-11,right,111797,Navone Mariano,Argentina,2001-02-27,right,640994,39.0,47.0,37.0,49.0,12.0,12.0,17.0,15.0,3.0,4.0,1.0,3.0,75.0,77.0,29.0,23.0,ATP 250,3,False,False,False,False,False,False,0,0,brisbane_2025,brisbane_2025_111797_640994
https://www.livesport.com/en/match/M7lq6K5K/#/match-summary,BRISBANE,brisbane,AUSTRALIA,HARD,outdoor,3rd Round,2024-12-30,07:15,finished,dimitrov g.,10.0,hanfmann y.,95.0,2.0,0.0,109.0,7.0,6.0,,,,6.0,3.0,,,,9.0,4.0,3.0,3.0,Dimitrov Grigor,Bulgaria,1991-05-16,right,105777,Hanfmann Yannick,Germany,1991-11-13,right,105870,33.0,38.0,40.0,64.0,10.0,11.0,10.0,14.0,2.0,3.0,7.0,10.0,63.0,95.0,33.0,33.0,ATP 250,3,False,False,False,False,True,False,1,0,brisbane_2025,brisbane_2025_105777_105870
