tournament_id,tournament_name,tournament_location,tournament_date,tournament_level,draw_size,Surface,indoor_or_outdoor
2018-M020,Brisbane International,Brisbane,2018-01-01,A,32,Hard,Outdoor
2018-0451,Qatar Exxon Mobil Open,Doha,2018-01-01,A,32,Hard,Outdoor
2018-0891,Tata Open,Pune,2018-01-01,A,32,Hard,Outdoor
2018-0301,ASB Classic,Auckland,2018-01-08,A,32,Hard,Outdoor
2018-M001,Sydney International,Sydney,2018-01-08,A,32,Hard,Outdoor
2018-580,Australian Open,Melbourne,2018-01-15,G,128,Hard,Outdoor
2018-0375,Open Sud de France,Montpellier,2018-02-05,A,32,Hard,Indoor
2018-7161,Ecuador Open,Quito,2018-02-05,A,32,Clay,Outdoor
2018-7434,Garanti Koza Sofia Open,Sofia,2018-02-05,A,32,Hard,Indoor
2018-0506,Argentina Open,Buenos Aires,2018-02-12,A,32,Clay,Outdoor
2018-0424,New York Open,New York,2018-02-12,A,32,Hard,Indoor
2018-0407,ABN AMRO World Tennis Tournament,Rotterdam,2018-02-12,A,32,Hard,Indoor
2018-0499,Delray Beach Open,Delray Beach,2018-02-19,A,32,Hard,Outdoor
2018-0496,Open 13,Marseille,2018-02-19,A,32,Hard,Indoor
2018-6932,Rio Open,Rio de Janeiro,2018-02-19,A,32,Clay,Outdoor
2018-M004,Abierto Mexicano,Acapulco,2018-02-26,A,32,Hard,Outdoor
2018-0495,Dubai Tennis Championships,Dubai,2018-02-26,A,32,Hard,Outdoor
2018-0533,Brasil Open,Sao Paulo,2018-02-26,A,32,Clay,Indoor
2018-M006,BNP Paribas Open,Indian Wells,2018-03-05,M,128,Hard,Outdoor
2018-M007,Sony Ericsson Open,Miami,2018-03-19,M,128,Hard,Outdoor
2018-0717,U.S. Men's Clay Court Championships,Houston,2018-04-09,A,32,Clay,Outdoor
2018-0360,Grand Prix Hassan II,Marrakech,2018-04-09,A,32,Clay,Outdoor
2018-0410,Monte Carlo Masters,Monte Carlo,2018-04-16,M,64,Clay,Outdoor
2018-0425,Open Banco Sabadell ,Barcelona,2018-04-23,A,64,Clay,Outdoor
2018-7648,Gazprom Hungarian Open,Budapest,2018-04-23,A,32,Clay,Outdoor
2018-7290,Millennium Estoril Open,Estoril,2018-04-30,A,32,Clay,Outdoor
2018-7163,Istanbul Open,Istanbul,2018-04-30,A,32,Clay,Outdoor
2018-0308,BMW Open,Munich,2018-04-30,A,32,Clay,Outdoor
2018-M021,Mutua Madrid Open,Madrid,2018-05-07,M,64,Clay,Outdoor
2018-M009,Internazionali BNL d'Italia,Rome,2018-05-14,M,64,Clay,Outdoor
2018-0322,Geneva Open,Geneva,2018-05-21,A,32,Clay,Outdoor
2018-7694,Lyon Open,Lyon,2018-05-21,A,32,Clay,Outdoor
2018-520,French Open,Paris,2018-05-28,G,128,Clay,Outdoor
2018-M010,Ricoh Open,'s-Hertogenbosch,2018-06-11,A,32,Grass,Outdoor
2018-0321,Mercedes Cup,Stuttgart,2018-06-11,A,32,Grass,Outdoor
2018-0500,Gerry Weber Open,Halle,2018-06-18,A,32,Grass,Outdoor
2018-0311,AEGON Championships,Queens Club,2018-06-18,A,32,Grass,Outdoor
2018-7650,Antalya Open,Antalya,2018-06-25,A,32,Grass,Outdoor
2018-M016,Eastbourne International,Eastbourne,2018-06-25,A,32,Grass,Outdoor
2018-540,Wimbledon,London,2018-07-02,G,128,Grass,Outdoor
2018-0316,SkiStar Swedish Open,Bastad,2018-07-16,A,32,Clay,Outdoor
2018-0315,Hall of Fame Championships,Newport,2018-07-16,A,32,Grass,Outdoor
2018-0439,Croatia Open,Umag,2018-07-16,A,32,Clay,Outdoor
2018-6116,BB&T Atlanta Open,Atlanta,2018-07-23,A,32,Hard,Outdoor
2018-0314,Suisse Open Gstaad,Gstaad,2018-07-23,A,32,Clay,Outdoor
2018-0414,German Tennis Championships,Hamburg,2018-07-23,A,32,Clay,Outdoor
2018-0319,Generali Open,Kitzbuhel,2018-07-30,A,32,Clay,Outdoor
2018-7480,Abierto Mexicano Mifel,Los Cabos,2018-07-30,A,32,Hard,Outdoor
2018-M035,Citi Open,Washington,2018-07-30,A,64,Hard,Outdoor
2018-0421,Rogers Masters,Toronto,2018-08-06,M,64,Hard,Outdoor
2018-M024,Western & Southern Financial Group Masters,Cincinnati,2018-08-13,M,64,Hard,Outdoor
2018-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,2018-08-20,A,64,Hard,Outdoor
2018-560,US Open,New York,2018-08-27,G,128,Hard,Outdoor
2018-0341,Open de Moselle,Metz,2018-09-17,A,32,Hard,Indoor
2018-0568,St. Petersburg Open,St. Petersburg,2018-09-17,A,32,Hard,Indoor
2018-7581,Chengdu Open,Chengdu,2018-09-24,A,32,Hard,Outdoor
2018-6967,Shenzhen Open,Shenzhen,2018-09-24,A,32,Hard,Outdoor
2018-M015,China Open,Beijing,2018-10-01,A,32,Hard,Outdoor
2018-0329,Rakuten Japan Open Tennis Championships,Tokyo,2018-10-01,A,32,Hard,Outdoor
2018-5014,Shanghai Masters,Shanghai,2018-10-08,M,64,Hard,Outdoor
2018-7485,European Open,Antwerp,2018-10-15,A,32,Hard,Indoor
2018-M014,Kremlin Cup,Moscow,2018-10-15,A,32,Hard,Indoor
2018-0429,Stockholm Open,Stockholm,2018-10-15,A,32,Hard,Indoor
2018-0328,Swiss Indoors,Basel,2018-10-22,A,32,Hard,Indoor
2018-0337,Erste Bank Open,Vienna,2018-10-22,A,32,Hard,Indoor
2018-0352,BNP Paribas Masters,Paris 2,2018-10-29,M,64,Hard,Indoor
2019-M020,Brisbane International,Brisbane,2018-12-31,A,32,Hard,Outdoor
2019-0451,Qatar Exxon Mobil Open,Doha,2018-12-31,A,32,Hard,Outdoor
2019-0891,Maharashtra Open,Pune,2018-12-31,A,32,Hard,Outdoor
2019-0301,ASB Classic,Auckland,2019-01-07,A,32,Hard,Outdoor
2019-M001,Sydney International,Sydney,2019-01-07,A,32,Hard,Outdoor
2019-580,Australian Open,Melbourne,2019-01-14,G,128,Hard,Outdoor
2019-9158,Cordoba Open,Cordoba,2019-02-04,A,32,Clay,Outdoor
2019-0375,Open Sud de France,Montpellier,2019-02-04,A,32,Hard,Indoor
2019-7434,Sofia Open,Sofia,2019-02-04,A,32,Hard,Indoor
2019-0506,Argentina Open,Buenos Aires,2019-02-11,A,32,Clay,Outdoor
2019-0424,New York Open,New York,2019-02-11,A,32,Hard,Indoor
2019-0407,ABN AMRO World Tennis Tournament,Rotterdam,2019-02-11,A,32,Hard,Indoor
2019-0499,Delray Beach Open,Delray Beach,2019-02-18,A,32,Hard,Outdoor
2019-0496,Open 13,Marseille,2019-02-18,A,32,Hard,Indoor
2019-6932,Rio Open,Rio de Janeiro,2019-02-18,A,32,Clay,Outdoor
2019-M004,Abierto Mexicano,Acapulco,2019-02-25,A,32,Hard,Outdoor
2019-0495,Dubai Tennis Championships,Dubai,2019-02-25,A,32,Hard,Outdoor
2019-0533,Brasil Open,Sao Paulo,2019-02-25,A,32,Clay,Indoor
2019-M006,BNP Paribas Open,Indian Wells,2019-03-04,M,128,Hard,Outdoor
2019-M007,Sony Ericsson Open,Miami,2019-03-18,M,128,Hard,Outdoor
2019-0717,U.S. Men's Clay Court Championships,Houston,2019-04-08,A,32,Clay,Outdoor
2019-0360,Grand Prix Hassan II,Marrakech,2019-04-08,A,32,Clay,Outdoor
2019-0410,Monte Carlo Masters,Monte Carlo,2019-04-15,M,64,Clay,Outdoor
2019-0425,Open Banco Sabadell ,Barcelona,2019-04-22,A,64,Clay,Outdoor
2019-7648,Hungarian Open,Budapest,2019-04-22,A,32,Clay,Outdoor
2019-7290,Millennium Estoril Open,Estoril,2019-04-29,A,32,Clay,Outdoor
2019-0308,BMW Open,Munich,2019-04-29,A,32,Clay,Outdoor
2019-M021,Mutua Madrid Open,Madrid,2019-05-06,M,64,Clay,Outdoor
2019-M009,Internazionali BNL d'Italia,Rome,2019-05-13,M,64,Clay,Outdoor
2019-0322,Geneva Open,Geneva,2019-05-20,A,32,Clay,Outdoor
2019-7694,Lyon Open,Lyon,2019-05-20,A,32,Clay,Outdoor
2019-520,French Open,Paris,2019-05-27,G,128,Clay,Outdoor
2019-M010,Rosmalen Grass Court Championships,'s-Hertogenbosch,2019-06-10,A,32,Grass,Outdoor
2019-0321,Mercedes Cup,Stuttgart,2019-06-10,A,32,Grass,Outdoor
2019-0500,Halle Open,Halle,2019-06-17,A,32,Grass,Outdoor
2019-0311,Queen's Club Championships,Queens Club,2019-06-17,A,32,Grass,Outdoor
2019-7650,Antalya Open,Antalya,2019-06-24,A,32,Grass,Outdoor
2019-M016,Eastbourne International,Eastbourne,2019-06-24,A,32,Grass,Outdoor
2019-540,Wimbledon,London,2019-07-01,G,128,Grass,Outdoor
