,match_id,date,tournament_id,Round,indoor_or_outdoor,best_of,minutes,winner_id,loser_id,winner_seed,loser_seed,winner_entry,loser_entry,winner_rank,loser_rank,winner_rank_points,loser_rank_points,winner_age,loser_age,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,w_ace,l_ace,w_df,l_df,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,w_2ndIn,l_2ndIn,winner_1st_serve_in_pct,winner_1st_serve_win_pct,winner_2nd_serve_in_pct,winner_2nd_serve_win_pct,winner_service_games_won_pct,loser_1st_serve_in_pct,loser_1st_serve_win_pct,loser_2nd_serve_in_pct,loser_2nd_serve_win_pct,loser_service_games_won_pct,winner_1st_serve_return_win_pct,winner_2nd_serve_return_win_pct,winner_return_games_win_pct,loser_1st_serve_return_win_pct,loser_2nd_serve_return_win_pct,loser_return_games_win_pct,winner_bp_won_pct,loser_bp_won_pct,winner_bp_saved_pct,loser_bp_saved_pct,l_SvGms,Comment,AvgW,AvgL,winner_model_prediction,winner_odds_prediction,uncertain,scheduled
0,melbourne_2025_106148_126205,2025-01-17,melbourne_2025,3rd Round,outdoor,5,144.0,126205,106148,12,,,,11.0,57.0,2000,2000,27.0,31.0,7,6,6,2,6,0,,,,,3.0,0.0,7.0,3.0,2.0,10.0,3.0,9.0,5.0,16.0,86.0,47.0,37.0,20.0,13.0,3.0,3.0,10.0,98.0,54.0,37.0,9.0,37.0,34.0,0.5465116279069767,0.7872340425531915,0.9487179487179487,0.5128205128205128,0.8461538461538461,0.5510204081632653,0.6851851851851852,0.7727272727272727,0.20454545454545456,0.46153846153846156,0.31481481481481477,0.7954545454545454,0.5384615384615384,0.21276595744680848,0.4871794871794872,0.15384615384615385,0.4375,0.4,0.6,0.5625,13.0,final,1.17,5.29,0.9280214607715607,0.8188854532869627,False,False
1,melbourne_2025_132686_207989,2025-01-17,melbourne_2025,3rd Round,outdoor,5,177.0,207989,132686,3,,,,3.0,33.0,2000,2000,21.0,27.0,6,2,6,4,6,7,6,2,,,3.0,1.0,9.0,3.0,3.0,1.0,3.0,8.0,3.0,13.0,109.0,67.0,56.0,24.0,19.0,3.0,3.0,1.0,137.0,94.0,60.0,23.0,39.0,42.0,0.6146788990825688,0.835820895522388,0.9285714285714286,0.5714285714285714,1.0,0.6861313868613139,0.6382978723404256,0.9767441860465116,0.5348837209302325,0.7368421052631579,0.36170212765957444,0.4651162790697675,0.26315789473684215,0.16417910447761197,0.4285714285714286,0.0,0.38461538461538464,0.0,1.0,0.6153846153846154,19.0,final,1.8,15.5,0.96339151263237,0.8959537596949366,True,False
2,melbourne_2025_100644_745390,2025-01-17,melbourne_2025,3rd Round,outdoor,5,121.0,100644,745390,2,,,,2.0,92.0,2000,2000,27.0,23.0,6,3,6,4,6,4,,,,,3.0,0.0,7.0,6.0,1.0,6.0,4.0,7.0,6.0,12.0,81.0,58.0,46.0,12.0,15.0,4.0,6.0,6.0,79.0,52.0,32.0,13.0,22.0,21.0,0.7160493827160493,0.7931034482758621,0.9565217391304348,0.5217391304347826,0.8666666666666667,0.6582278481012658,0.6153846153846154,0.7777777777777778,0.48148148148148145,0.6428571428571429,0.3846153846153846,0.5185185185185186,0.3571428571428571,0.2068965517241379,0.4782608695652174,0.1333333333333333,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.5833333333333334,14.0,final,1.06,11.8,0.9653979539871216,0.9175738777780353,True,False
3,melbourne_2025_200221_210150,2025-01-17,melbourne_2025,3rd Round,outdoor,5,208.0,200221,210150,,,,,66.0,48.0,2000,2000,25.0,19.0,3,6,4,6,7,6,6,4,6,2,3.0,2.0,4.0,16.0,3.0,7.0,17.0,3.0,22.0,9.0,156.0,108.0,74.0,25.0,24.0,17.0,16.0,7.0,142.0,81.0,67.0,24.0,45.0,54.0,0.6923076923076923,0.6851851851851852,0.9375,0.5208333333333334,0.7916666666666666,0.5704225352112676,0.8271604938271605,0.8852459016393442,0.39344262295081966,0.76,0.1728395061728395,0.6065573770491803,0.24,0.31481481481481477,0.47916666666666663,0.20833333333333337,0.6666666666666666,0.22727272727272727,0.7727272727272727,0.3333333333333333,25.0,final,2.72,1.52,0.1495540738105774,0.35849056073294366,True,False
4,melbourne_2025_200005_209950,2025-01-17,melbourne_2025,3rd Round,outdoor,5,155.0,200005,209950,14,20,,,14.0,21.0,2000,2000,26.0,20.0,4,6,7,5,6,4,,,,,2.0,1.0,3.0,6.0,6.0,2.0,4.0,5.0,7.0,10.0,102.0,66.0,50.0,15.0,16.0,4.0,6.0,2.0,101.0,66.0,42.0,18.0,30.0,33.0,0.6470588235294118,0.7575757575757576,0.8333333333333334,0.4166666666666667,0.8125,0.6534653465346535,0.6363636363636364,0.9428571428571428,0.5142857142857142,0.7058823529411765,0.36363636363636365,0.48571428571428577,0.2941176470588235,0.24242424242424243,0.5833333333333333,0.1875,0.5,0.42857142857142855,0.5714285714285714,0.5,17.0,retired,1.59,2.4,0.6167005002498627,0.6015037638912804,True,False
5,melbourne_2025_104925_207830,2025-01-17,melbourne_2025,3rd Round,outdoor,5,142.0,104925,207830,7,26,,,7.0,25.0,2000,2000,37.0,24.0,6,1,6,4,6,4,,,,,3.0,0.0,9.0,4.0,4.0,5.0,2.0,10.0,3.0,15.0,79.0,51.0,41.0,15.0,14.0,2.0,4.0,5.0,87.0,55.0,35.0,12.0,24.0,27.0,0.6455696202531646,0.803921568627451,0.8571428571428571,0.5357142857142857,0.9285714285714286,0.632183908045977,0.6363636363636364,0.84375,0.375,0.6153846153846154,0.36363636363636365,0.625,0.3846153846153846,0.196078431372549,0.4642857142857143,0.0714285714285714,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,13.0,final,1.28,3.78,0.8944966495037079,0.7470355759161046,True,False
6,melbourne_2025_126127_208103,2025-01-17,melbourne_2025,3rd Round,outdoor,5,109.0,208103,126127,24,,,,29.0,64.0,2000,2000,23.0,28.0,6,2,6,3,6,3,,,,,3.0,0.0,9.0,1.0,1.0,2.0,2.0,3.0,2.0,8.0,76.0,52.0,42.0,14.0,13.0,2.0,1.0,2.0,85.0,51.0,29.0,19.0,23.0,32.0,0.6842105263157895,0.8076923076923077,0.9583333333333334,0.5833333333333334,1.0,0.6,0.5686274509803921,0.9411764705882353,0.5588235294117647,0.6153846153846154,0.43137254901960786,0.4411764705882353,0.3846153846153846,0.1923076923076923,0.41666666666666663,0.0,0.625,0.0,1.0,0.375,13.0,final,1.3,3.93,0.7842831611633301,0.751434044440676,True,False
7,melbourne_2025_126846_207733,2025-01-17,melbourne_2025,3rd Round,outdoor,5,242.0,207733,126846,15,,,,18.0,68.0,2000,2000,23.0,28.0,6,4,2,6,5,7,7,6,7,6,3.0,2.0,29.0,22.0,4.0,6.0,8.0,14.0,14.0,18.0,164.0,112.0,84.0,27.0,27.0,8.0,22.0,6.0,188.0,119.0,93.0,28.0,48.0,63.0,0.6829268292682927,0.75,0.9230769230769231,0.5192307692307693,0.7777777777777778,0.6329787234042553,0.7815126050420168,0.9130434782608695,0.4057971014492754,0.8518518518518519,0.2184873949579832,0.5942028985507246,0.14814814814814814,0.25,0.4807692307692307,0.2222222222222222,0.2222222222222222,0.42857142857142855,0.5714285714285714,0.7777777777777778,27.0,final,1.23,4.34,0.9402458667755127,0.7791741505985249,True,False
8,melbourne_2025_132283_206681,2025-01-18,melbourne_2025,3rd Round,outdoor,5,196.0,132283,206681,,,,,55.0,59.0,2000,2000,29.0,25.0,6,7,7,6,6,1,6,2,,,3.0,1.0,15.0,9.0,3.0,7.0,5.0,11.0,5.0,15.0,130.0,81.0,69.0,26.0,20.0,5.0,9.0,7.0,134.0,86.0,63.0,23.0,46.0,41.0,0.6230769230769231,0.8518518518518519,0.9387755102040817,0.5306122448979592,1.0,0.6417910447761194,0.7325581395348837,0.8541666666666666,0.4791666666666667,0.7894736842105263,0.2674418604651163,0.5208333333333333,0.21052631578947367,0.14814814814814814,0.4693877551020408,0.0,0.26666666666666666,0.0,1.0,0.7333333333333333,19.0,final,1.82,2.02,0.3553365468978882,0.5260416571270778,True,False
9,melbourne_2025_104792_126203,2025-01-18,melbourne_2025,3rd Round,outdoor,5,188.0,104792,126203,,4,,,41.0,4.0,2000,2000,38.0,27.0,3,6,7,5,7,6,6,4,,,3.0,1.0,24.0,12.0,4.0,0.0,3.0,4.0,4.0,6.0,121.0,74.0,61.0,32.0,21.0,3.0,12.0,0.0,130.0,87.0,65.0,25.0,43.0,43.0,0.6115702479338843,0.8243243243243243,0.9148936170212766,0.6808510638297872,0.9523809523809523,0.6692307692307692,0.7471264367816092,1.0,0.5813953488372093,0.9090909090909091,0.25287356321839083,0.41860465116279066,0.09090909090909094,0.17567567567567566,0.3191489361702128,0.04761904761904767,0.3333333333333333,0.25,0.75,0.6666666666666666,22.0,final,6.74,1.14,0.11542996764183044,0.14467005341075562,False,False
