,match_id,w_ace_avg,l_ace_avg,w_CO_ace_avg,l_CO_ace_avg,w_df_avg,l_df_avg,w_CO_df_avg,l_CO_df_avg,w_2ndIn_avg,l_2ndIn_avg,w_CO_2ndIn_avg,l_CO_2ndIn_avg,winner_1st_serve_in_pct_avg,loser_1st_serve_in_pct_avg,winner_CO_1st_serve_in_pct_avg,loser_CO_1st_serve_in_pct_avg,winner_1st_serve_win_pct_avg,loser_1st_serve_win_pct_avg,winner_CO_1st_serve_win_pct_avg,loser_CO_1st_serve_win_pct_avg,winner_2nd_serve_in_pct_avg,loser_2nd_serve_in_pct_avg,winner_CO_2nd_serve_in_pct_avg,loser_CO_2nd_serve_in_pct_avg,winner_2nd_serve_win_pct_avg,loser_2nd_serve_win_pct_avg,winner_CO_2nd_serve_win_pct_avg,loser_CO_2nd_serve_win_pct_avg,winner_service_games_won_pct_avg,loser_service_games_won_pct_avg,winner_CO_service_games_won_pct_avg,loser_CO_service_games_won_pct_avg,winner_1st_serve_return_win_pct_avg,loser_1st_serve_return_win_pct_avg,winner_CO_1st_serve_return_win_pct_avg,loser_CO_1st_serve_return_win_pct_avg,winner_2nd_serve_return_win_pct_avg,loser_2nd_serve_return_win_pct_avg,winner_CO_2nd_serve_return_win_pct_avg,loser_CO_2nd_serve_return_win_pct_avg,winner_return_games_win_pct_avg,loser_return_games_win_pct_avg,winner_CO_return_games_win_pct_avg,loser_CO_return_games_win_pct_avg,winner_bp_won_pct_avg,loser_bp_won_pct_avg,winner_CO_bp_won_pct_avg,loser_CO_bp_won_pct_avg,winner_bp_saved_pct_avg,loser_bp_saved_pct_avg,winner_CO_bp_saved_pct_avg,loser_CO_bp_saved_pct_avg,non_CO_uncertainty,CO_uncertainty,elo_winner,elo_loser,surface_elo_winner,surface_elo_loser,blended_elo_winner,blended_elo_loser,winner_fatigue_score,loser_fatigue_score,winner_h2h_wins,loser_h2h_wins,winner_h2h_surface_wins,loser_h2h_surface_wins,tournament_country,winner_home,loser_home,winner_injury_score,loser_injury_score,winner_win_pct_last_10,loser_win_pct_last_10,winner_win_pct_last_10_surface,loser_win_pct_last_10_surface,Round_Num,Winner_Set_Diff_Tournament,Winner_Game_Diff_Tournament,Loser_Set_Diff_Tournament,Loser_Game_Diff_Tournament,winner_total_wins_tournament_history,winner_total_losses_tournament_history,loser_total_wins_tournament_history,loser_total_losses_tournament_history
0,melbourne_2025_106148_126205,6.221965716433718,4.8357831090714996,5.901188400570255,4.977863493979695,2.2908162513793773,2.460366755727635,2.3813865283921967,2.387293533075108,28.38989299118477,25.328982661873848,29.098696508617163,24.82375666100647,0.6227691533228513,0.6394668557169257,0.6192691989720619,0.6440243304711392,0.75529110189572,0.7495491490953119,0.7468363249526968,0.7521604991753613,0.92808347703247,0.9120277214143585,0.9268936349546414,0.9145353426159513,0.5698459736695509,0.5609676541431048,0.5627105709198091,0.5566456446286963,0.8777913985430207,0.8692068643608596,0.8612684923807716,0.8752181734637127,0.3514862629931427,0.36409608251946446,0.36006126944117145,0.3582215654394092,0.5392267328353453,0.5497091866244266,0.5385080880374026,0.5473395581592805,0.3333928699170245,0.3624688245069643,0.34606396319655847,0.35929623676278666,0.47990982919641423,0.49850395691276034,0.4863701323513922,0.49288289636295496,0.6187830648175612,0.5630360493742718,0.6001197957057194,0.5888549200381685,0.007929143932993316,0.013152286087122964,2000.6709239458116,1803.2007082231771,1964.6620207130957,1743.1608915268314,1986.2673626527253,1779.1847815446388,288.01824999999997,233.50775,1.0,0.0,1.0,0.0,AUS,False,False,0.0,0.0,0.7,0.5,0.7,0.5,3,1.0,7.0,2.0,3.0,13.0,5.0,3.0,6.0
1,melbourne_2025_132686_207989,4.494555485556675,6.586358154812583,4.7009252695301,7.230972204481299,2.425990365472119,2.680563567629461,2.3888117200317236,2.9131104599418114,25.711646513810564,27.027691293208427,25.518270308709447,26.863126900064785,0.6500444395282521,0.6478787988090486,0.6610832881533957,0.6378008275260001,0.7418600663525453,0.7573410578673301,0.7446163497926532,0.7719120759854966,0.9178690650002624,0.9153029389972274,0.9188511673235673,0.9075436433246233,0.5765986730930976,0.5644069735245693,0.583053217461756,0.5726801069278572,0.8750798293604297,0.8760062814638072,0.8848553990228911,0.8955303227662145,0.3687126253642021,0.3271139494311911,0.35912248186167905,0.3237235284216413,0.5591372747883628,0.5493630056274842,0.5437350491482111,0.552068931600774,0.3731616735926673,0.31225213218460796,0.35179046643537143,0.3155271854073921,0.48000056446350736,0.47318486164652457,0.4984836129633586,0.4944586014296502,0.6056171175531022,0.5869534558410412,0.5851503248199577,0.5869619627383658,0.010613385726429527,0.020056840859776666,2238.2579578487735,1866.1099576787233,2147.696753355418,1824.195966588279,2202.0334760514315,1849.3443612425456,140.93849999999998,200.50012499999997,1.0,0.0,0.0,0.0,AUS,False,False,0.0,0.0,0.8,0.6,0.8,0.6,3,3.0,12.0,2.0,8.0,9.0,3.0,5.0,2.0
2,melbourne_2025_100644_745390,8.934187428166329,12.996712329507451,0.0,0.0,2.816052159707549,8.50041095881157,0.0,0.0,23.27061078821946,33.499589041188436,0.0,0.0,0.6807232889048231,0.6199031335192535,0.0,0.0,0.7819664346623508,0.7739483411058433,0.0,0.0,0.8952435833799168,0.7976092628854388,0.0,0.0,0.5552032647877578,0.5713698630269187,0.0,0.0,0.9076393805700026,0.8652627338025792,0.0,0.0,0.3301801609070036,0.3245389092877586,0.0,0.0,0.5495813432128706,0.5425972914109035,0.0,0.0,0.31119244440346605,0.24681056234228976,0.0,0.0,0.48629625879470106,0.3602864258698602,0.0,0.0,0.5954176903889894,0.5832648401980719,0.0,0.0,0.05354667402166091,1.0,2132.780324803847,1853.9345367525764,2102.370667726254,1855.3084639830338,2120.6164619728097,1854.2093221986681,172.72488749999997,238.1275,0.0,0.0,0.0,0.0,AUS,False,False,0.0,0.0,0.9,1.0,0.9,1.0,3,3.0,6.0,3.0,5.0,25.0,7.0,2.0,0.0
3,melbourne_2025_200221_210150,5.803822624851359,11.062977582644885,5.7233676168595276,11.102108835600962,2.6504765783334654,3.0559183692387557,2.6890913934186567,2.831448953382833,27.241566700956625,31.058198893823295,30.70319363750047,31.52116424147379,0.6381422928839297,0.6139975412427089,0.6451885306656151,0.6268433211920647,0.7298787161239306,0.7809223282833162,0.7142043475163964,0.7824435979973139,0.9135219363293873,0.919989262240935,0.9195766505679066,0.9277100515186087,0.5441360118705493,0.5402851261822066,0.5262151071308468,0.5380267271263828,0.8418747613696634,0.8995652472180409,0.8298619968181471,0.9082978318910011,0.36563693229974353,0.32518281222797085,0.3578159675786571,0.32302186024268353,0.5435699608325312,0.5450087892410942,0.5249397879730341,0.5377644008636365,0.35239516259167286,0.29902768586779255,0.3114556622614275,0.28730097104809843,0.5078945913648759,0.4839959052104981,0.49523759565182357,0.465919179484826,0.6011736169224141,0.5889917288546005,0.6589440335274244,0.554282632327732,0.01461769668434447,0.03949805965179975,1824.0576159355942,1936.2941051680089,1822.6693588762244,1941.3593367594826,1823.5023131118464,1938.3201978045986,310.182,237.13937499999997,2.0,0.0,2.0,0.0,AUS,False,False,0.0,0.0,0.5,0.7,0.5,0.7,3,1.0,1.0,2.0,10.0,6.0,4.0,3.0,1.0
4,melbourne_2025_200005_209950,7.482648929616173,6.4703870168096875,7.215798479908529,7.177773523521736,2.4387941127135617,2.4539172434610173,2.3543880558041623,2.588520689751364,27.51818909058481,26.07248434389432,27.08796970032308,26.182855506003083,0.6337527542617467,0.6330473547030345,0.6295529747279163,0.6295643354839477,0.7696891404038614,0.7807235319206249,0.7730584219000854,0.7882664171261415,0.9224158474418427,0.9128090057319493,0.9257038358213923,0.9106044842792673,0.5724455240118758,0.562894883022962,0.565515042209314,0.562649798244196,0.8947483075078032,0.9047437468762615,0.8918035190611563,0.9109795483058438,0.3140149934654585,0.31561091482280057,0.31821489061330577,0.3079221439335994,0.5337167175063567,0.5394736810778246,0.5369981783983495,0.5461636874546469,0.2847314645084125,0.2921810048160694,0.29399334097315133,0.28894701821291635,0.4484391494751756,0.4740831224114116,0.45622332397549487,0.48091004879823307,0.6210450994066925,0.6010163185875556,0.6150684194576304,0.6263049507299797,0.010347883862890645,0.022418303369824734,1968.9989620229733,1952.9665695802328,2003.5552688544815,1887.6281553222311,1982.8214847555766,1926.8312038770323,178.70708125,216.04704999999996,3.0,1.0,2.0,1.0,AUS,False,False,0.0,0.0,0.8,0.7,0.8,0.7,3,3.0,5.0,2.0,2.0,7.0,6.0,3.0,1.0
5,melbourne_2025_104925_207830,7.220699814410082,7.346306222916288,7.612114816000613,7.719689255154774,2.6020788885764112,3.0340895136415096,2.624357886337241,3.1884094856080294,26.784572168819277,29.465272467964745,27.825503748857603,30.86794444263391,0.6428570814575824,0.6200102937059229,0.6399117062835666,0.6213055532879407,0.7766237168130998,0.770493482048926,0.7817500935799935,0.7694113731844248,0.9138096008184513,0.9116945261963899,0.9161075067873852,0.9101626082382087,0.5813038283082084,0.553274535748545,0.5731441240588985,0.5502550649344604,0.8989957940666248,0.8773437588498251,0.8976636752728382,0.8870374597571807,0.35127370629550103,0.33919699302430584,0.33984144495374563,0.32617679787433146,0.5611240149457527,0.5254897752870824,0.5484305111315249,0.5220229829376741,0.3510330554092634,0.3167152181189819,0.3193979003514548,0.3019642636460467,0.4786409037963635,0.5132800190533696,0.4528512035433342,0.5033651307723913,0.555105443550877,0.6349656302234958,0.538893005495593,0.6619431308012439,0.011483424338381716,0.020679060397630344,2220.58954772589,1955.7423799676665,2280.982200557528,1943.5904001501328,2244.746608858545,1950.881588040653,262.550125,243.94479374999997,1.0,1.0,1.0,0.0,AUS,False,False,0.0,0.0,0.8,0.6,0.8,0.6,3,2.0,7.0,3.0,10.0,38.0,2.0,6.0,4.0
6,melbourne_2025_126127_208103,6.8935316263724715,8.60659868736148,7.169712347558269,8.651535724891826,2.2989148082851454,2.1368736614251564,2.1454140457925215,1.952596360426308,25.679961595795028,26.8584377537716,26.236615460800234,25.042150571841958,0.6217612021543882,0.6393122167263323,0.6218829069941773,0.646515783234452,0.7976400634031718,0.7754386106886008,0.796117921662441,0.7750342083236469,0.9222812979843508,0.9325666682165855,0.9230332512164552,0.932366915969648,0.5753989549205726,0.5622783966249433,0.591257402766589,0.5487109776894876,0.914867259059135,0.8934460998871234,0.9190913730298202,0.8891244454699035,0.329379927400121,0.32610148971607816,0.3270309603155906,0.3393739453929281,0.5309068770600007,0.5340831304885055,0.5306424323346901,0.5401368051272032,0.28851384302437866,0.31017943649624047,0.2939749127293056,0.3278625931590191,0.4470626628245866,0.4658914338118026,0.4421632484297753,0.4775782224924117,0.6240204516427876,0.5907522717394224,0.6553271548043529,0.5656370371697974,0.014252456970658332,0.02629958342680825,1999.6971768617454,1861.0849643947756,1957.6892658484437,1852.6222219372617,1982.894012456425,1857.6998674117701,125.12488749999999,195.106875,0.0,0.0,0.0,0.0,AUS,False,False,0.0,0.0,0.9,0.8,0.9,0.8,3,2.0,6.0,3.0,10.0,7.0,3.0,5.0,3.0
7,melbourne_2025_126846_207733,8.779221653520061,9.949102366616886,8.65412481627178,10.306576185400134,2.529136396339389,2.145020326216911,2.582240347162282,2.206291214650365,27.548924004677307,28.913121130932325,26.639380946695308,29.217949267651164,0.6119272356478048,0.6180568762299984,0.6178520648864246,0.6214868750312926,0.8025047739263584,0.787866570813338,0.7990169422336234,0.7900137347774826,0.91610466264513,0.9292924343904786,0.9119220655952078,0.9298701306071212,0.5539127786512733,0.5688875509238146,0.559844233273475,0.5672129584761912,0.9015234440286775,0.9038051038357614,0.9033402649019162,0.8966562683668092,0.3242771557739477,0.29734531523038743,0.32570079965151616,0.28543101567651613,0.5553290840271252,0.5154931252782917,0.5539877757962074,0.5212878525007525,0.31918841176155316,0.2636718099334528,0.30722820303604137,0.25841244602750524,0.5000515097067486,0.473359917021986,0.4859926106492874,0.443368776611673,0.5844662455761793,0.6154009321383258,0.5613560008882558,0.6295848383450146,0.013371845929866117,0.02519320583059106,2071.7581575527333,1813.5611887715315,2062.6572196591305,1778.8684391602765,2068.117782395292,1799.6840889270295,381.99,285.03262499999994,0.0,0.0,0.0,0.0,AUS,False,False,0.0,0.0,0.9,0.6,0.9,0.6,3,1.0,5.0,1.0,7.0,3.0,2.0,3.0,4.0
11,melbourne_2025_106218_206173,6.685942798924671,6.534354385062657,6.815285256696068,6.754378983938026,2.1852016281553297,1.8967624987252711,2.29734050732921,1.9291213800545082,28.48781445378968,27.796704473719515,28.917367027550284,28.421673349741297,0.6123003778859342,0.6269540678243537,0.6117493543270871,0.6239790455739691,0.7831539438969578,0.771614517886817,0.7825339035593485,0.7728405899418394,0.9311080621935545,0.9393512446310148,0.9294268911159711,0.9399060331250658,0.574620632411963,0.5702481375634513,0.5707172437515661,0.5709495994383215,0.9032433339480175,0.8929665991782217,0.8990937815299703,0.8931151635406036,0.33671517734480494,0.32421406035668493,0.3342312433747199,0.3191001317966231,0.5546636505884873,0.54038541432449,0.5586958714580674,0.5356559171649425,0.3220849720611834,0.30702851192086084,0.32005661816552544,0.29789493114034543,0.48540665887461854,0.47312861078438784,0.4912124553353686,0.4736446960874773,0.6178505098115645,0.617637898941481,0.6313445254179513,0.6111979633502789,0.007087194006075451,0.008921720795678767,2320.5164474320204,1873.814952612401,2354.086224810846,1850.524854106176,2333.9443583835505,1864.4989132099108,229.06501249999997,319.784875,1.0,0.0,1.0,0.0,AUS,False,False,0.0,0.0,0.9,0.6,0.9,0.6,3,3.0,7.0,2.0,5.0,17.0,4.0,2.0,5.0
8,melbourne_2025_200175_208029,6.537451780168524,7.098795543061908,6.133939936329036,7.070896665755497,2.760425805992549,2.3314491149620022,2.634851375168958,2.4371931612128144,26.15920881333116,27.021884258976478,26.800462542899453,26.094362133359983,0.6343276891317966,0.624104384152438,0.6309198702564658,0.6243932360332156,0.7707356226187105,0.7713165430770685,0.7680582161659121,0.7738734961617334,0.9092267985517677,0.9212833784815668,0.9148752142293727,0.9147494859009901,0.5734597783639765,0.5581559750049172,0.5763058490571861,0.5612328933159393,0.9037131736787622,0.8835377540213554,0.899260536039228,0.8852925677328091,0.3225790170858467,0.34334429899553653,0.325078690570345,0.3479732330869443,0.5289814330283706,0.5373159330806501,0.5300265674269391,0.5410246244970633,0.292376115949883,0.33131578162894604,0.293680578923719,0.3413299050353489,0.4707950050085855,0.4884917725090055,0.47027265004148705,0.5027484505422567,0.6306030080145831,0.610570422891389,0.6275673689994951,0.6071134394362533,0.007359865378826862,0.010407678550139854,2010.7359037465508,1857.6688327343934,1971.3013621747752,1824.1019078320983,1994.9620871178404,1844.2420627734753,293.01199999999994,221.38037499999996,2.0,0.0,2.0,0.0,AUS,False,False,0.0,0.0,0.7,0.6,0.7,0.6,3,1.0,2.0,1.0,2.0,6.0,3.0,9.0,6.0
